# Date: 2014-2-7
# Start Time: 12:59:11.441
# dB Attenuation: -1.010000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,stimulus_label,response_label,stimulus,trialdur
"1666","label",4.000000,"2014-02-07","12:59:11.535",1.000000,4.000000,2.000000,63.000000,3.849892
"1666","label",4.000000,"2014-02-07","12:59:15.503",2.000000,3.000000,2.000000,53.000000,2.298718
"1666","label",4.000000,"2014-02-07","12:59:17.863",3.000000,3.000000,2.000000,41.000000,2.197317
"1666","label",4.000000,"2014-02-07","12:59:20.144",4.000000,2.000000,2.000000,37.000000,2.745415
"1666","label",4.000000,"2014-02-07","12:59:22.988",5.000000,1.000000,2.000000,1.000000,3.129286
"1666","label",4.000000,"2014-02-07","12:59:26.206",6.000000,3.000000,3.000000,55.000000,4.053136
"1666","label",4.000000,"2014-02-07","12:59:30.347",7.000000,3.000000,4.000000,54.000000,2.546750
"1666","label",4.000000,"2014-02-07","12:59:33.003",8.000000,4.000000,2.000000,64.000000,3.874284
"1666","label",4.000000,"2014-02-07","12:59:36.987",9.000000,2.000000,2.000000,23.000000,2.906092
"1666","label",4.000000,"2014-02-07","12:59:39.972",10.000000,2.000000,1.000000,25.000000,2.432324
"1666","label",4.000000,"2014-02-07","12:59:42.503",11.000000,4.000000,1.000000,67.000000,2.309174
"1666","label",4.000000,"2014-02-07","12:59:44.894",12.000000,2.000000,4.000000,37.000000,2.326644
"1666","label",4.000000,"2014-02-07","12:59:47.316",13.000000,4.000000,3.000000,57.000000,2.175939
"1666","label",4.000000,"2014-02-07","12:59:49.597",14.000000,1.000000,4.000000,16.000000,2.164966
"1666","label",4.000000,"2014-02-07","12:59:51.847",15.000000,1.000000,4.000000,20.000000,3.395221
"1666","label",4.000000,"2014-02-07","12:59:55.347",16.000000,4.000000,3.000000,62.000000,3.597100
"1666","label",4.000000,"2014-02-07","12:59:59.050",17.000000,3.000000,3.000000,50.000000,2.161666
"1666","label",4.000000,"2014-02-07","13:0:1.300",18.000000,4.000000,4.000000,61.000000,3.791113
"1666","label",4.000000,"2014-02-07","13:0:5.190",19.000000,1.000000,4.000000,5.000000,3.394382
"1666","label",4.000000,"2014-02-07","13:0:8.706",20.000000,2.000000,4.000000,35.000000,4.128911
"1666","label",4.000000,"2014-02-07","13:0:12.925",21.000000,4.000000,3.000000,68.000000,2.863045
"1666","label",4.000000,"2014-02-07","13:0:15.893",22.000000,2.000000,1.000000,26.000000,3.089996
"1666","label",4.000000,"2014-02-07","13:0:19.097",23.000000,1.000000,4.000000,12.000000,2.698031
"1666","label",4.000000,"2014-02-07","13:0:21.878",24.000000,2.000000,3.000000,29.000000,3.202383
"1666","label",4.000000,"2014-02-07","13:0:25.175",25.000000,3.000000,4.000000,41.000000,2.958054
"1666","label",4.000000,"2014-02-07","13:0:28.206",26.000000,1.000000,4.000000,1.000000,2.637198
"1666","label",4.000000,"2014-02-07","13:0:30.940",27.000000,2.000000,3.000000,30.000000,2.551598
"1666","label",4.000000,"2014-02-07","13:0:33.597",28.000000,1.000000,2.000000,7.000000,2.813222
"1666","label",4.000000,"2014-02-07","13:0:36.518",29.000000,4.000000,3.000000,62.000000,3.220812
"1666","label",4.000000,"2014-02-07","13:0:39.847",30.000000,1.000000,3.000000,6.000000,3.987023
