# Date: 2013-7-23
# Start Time: 12:35:45.747
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1614","4th_fam",1.000000,"2013-07-23","12:35:47.169",1.000000,1.000000,2.000000,36.000000,41.000000,8.479998
"1614","4th_fam",1.000000,"2013-07-23","12:35:55.732",2.000000,1.000000,1.000000,27.000000,14.000000,4.187498
"1614","4th_fam",1.000000,"2013-07-23","12:35:59.950",3.000000,2.000000,1.000000,34.000000,41.000000,5.739645
"1614","4th_fam",1.000000,"2013-07-23","12:36:5.747",4.000000,2.000000,2.000000,29.000000,68.000000,3.906365
"1614","4th_fam",1.000000,"2013-07-23","12:36:9.685",5.000000,1.000000,2.000000,38.000000,55.000000,5.681136
"1614","4th_fam",1.000000,"2013-07-23","12:36:15.403",6.000000,1.000000,1.000000,33.000000,59.000000,4.847180
"1614","4th_fam",1.000000,"2013-07-23","12:36:20.294",7.000000,1.000000,1.000000,35.000000,11.000000,4.242402
"1614","4th_fam",1.000000,"2013-07-23","12:36:24.575",8.000000,2.000000,1.000000,38.000000,66.000000,4.426620
"1614","4th_fam",1.000000,"2013-07-23","12:36:29.044",9.000000,2.000000,2.000000,36.000000,17.000000,6.238764
"1614","4th_fam",1.000000,"2013-07-23","12:36:35.372",10.000000,2.000000,1.000000,24.000000,44.000000,6.373749
"1614","4th_fam",1.000000,"2013-07-23","12:36:41.778",11.000000,1.000000,2.000000,21.000000,48.000000,5.317319
"1614","4th_fam",1.000000,"2013-07-23","12:36:47.138",12.000000,2.000000,1.000000,39.000000,15.000000,4.062518
"1614","4th_fam",1.000000,"2013-07-23","12:36:51.232",13.000000,2.000000,2.000000,29.000000,57.000000,6.298400
"1614","4th_fam",1.000000,"2013-07-23","12:36:57.560",14.000000,2.000000,1.000000,21.000000,41.000000,3.982170
"1614","4th_fam",1.000000,"2013-07-23","12:37:1.575",15.000000,2.000000,2.000000,23.000000,54.000000,5.115254
"1614","4th_fam",1.000000,"2013-07-23","12:37:6.732",16.000000,2.000000,2.000000,35.000000,3.000000,4.364206
"1614","4th_fam",1.000000,"2013-07-23","12:37:11.122",17.000000,2.000000,2.000000,30.000000,20.000000,5.349745
"1614","4th_fam",1.000000,"2013-07-23","12:37:16.513",18.000000,1.000000,1.000000,36.000000,47.000000,4.080132
"1614","4th_fam",1.000000,"2013-07-23","12:37:20.622",19.000000,1.000000,2.000000,35.000000,2.000000,6.049407
"1614","4th_fam",1.000000,"2013-07-23","12:37:26.716",20.000000,2.000000,2.000000,24.000000,62.000000,4.097351
"1614","4th_fam",1.000000,"2013-07-23","12:37:30.841",21.000000,1.000000,2.000000,36.000000,41.000000,4.216835
"1614","4th_fam",1.000000,"2013-07-23","12:37:35.107",22.000000,2.000000,1.000000,30.000000,63.000000,4.500750
"1614","4th_fam",1.000000,"2013-07-23","12:37:39.653",23.000000,1.000000,1.000000,33.000000,6.000000,4.682020
"1614","4th_fam",1.000000,"2013-07-23","12:37:44.403",24.000000,1.000000,1.000000,21.000000,20.000000,5.129973
"1614","4th_fam",1.000000,"2013-07-23","12:37:49.560",25.000000,1.000000,1.000000,23.000000,8.000000,6.133934
"1614","4th_fam",1.000000,"2013-07-23","12:37:55.732",26.000000,2.000000,1.000000,30.000000,45.000000,5.129751
"1614","4th_fam",1.000000,"2013-07-23","12:38:0.903",27.000000,2.000000,2.000000,38.000000,57.000000,5.704332
"1614","4th_fam",1.000000,"2013-07-23","12:38:6.653",28.000000,2.000000,2.000000,25.000000,63.000000,4.080707
"1614","4th_fam",1.000000,"2013-07-23","12:38:10.763",29.000000,2.000000,2.000000,38.000000,62.000000,5.065543
"1614","4th_fam",1.000000,"2013-07-23","12:38:15.872",30.000000,2.000000,2.000000,26.000000,67.000000,3.963633
