# Date: 2013-7-26
# Start Time: 12:42:24.266
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1614","4th_gen",2.000000,"2013-07-26","12:42:31.235",1.000000,1.000000,1.000000,26.000000,59.000000,3.821298
"1614","4th_gen",2.000000,"2013-07-26","12:42:35.126",2.000000,2.000000,2.000000,24.000000,11.000000,3.680219
"1614","4th_gen",2.000000,"2013-07-26","12:42:39.032",3.000000,1.000000,1.000000,33.000000,2.000000,3.569169
"1614","4th_gen",2.000000,"2013-07-26","12:42:42.657",4.000000,1.000000,1.000000,21.000000,64.000000,3.941110
"1614","4th_gen",2.000000,"2013-07-26","12:42:46.625",5.000000,1.000000,1.000000,39.000000,53.000000,3.718512
"1614","4th_gen",2.000000,"2013-07-26","12:42:50.375",6.000000,1.000000,1.000000,37.000000,59.000000,3.917605
"1614","4th_gen",2.000000,"2013-07-26","12:42:54.327",7.000000,2.000000,1.000000,38.000000,55.000000,5.435054
"1614","4th_gen",2.000000,"2013-07-26","12:42:59.795",8.000000,2.000000,2.000000,32.000000,7.000000,3.806707
"1614","4th_gen",2.000000,"2013-07-26","12:43:3.638",9.000000,2.000000,2.000000,23.000000,15.000000,3.734921
"1614","4th_gen",2.000000,"2013-07-26","12:43:7.404",10.000000,2.000000,2.000000,36.000000,46.000000,3.751549
"1614","4th_gen",2.000000,"2013-07-26","12:43:11.184",11.000000,2.000000,2.000000,37.000000,7.000000,3.733858
"1614","4th_gen",2.000000,"2013-07-26","12:43:14.950",12.000000,1.000000,1.000000,39.000000,65.000000,3.967064
"1614","4th_gen",2.000000,"2013-07-26","12:43:18.949",13.000000,2.000000,2.000000,32.000000,46.000000,3.732091
"1614","4th_gen",2.000000,"2013-07-26","12:43:22.714",14.000000,2.000000,2.000000,28.000000,48.000000,3.901302
"1614","4th_gen",2.000000,"2013-07-26","12:43:26.651",15.000000,2.000000,2.000000,39.000000,61.000000,3.735098
"1614","4th_gen",2.000000,"2013-07-26","12:43:30.416",16.000000,1.000000,1.000000,34.000000,56.000000,3.850966
"1614","4th_gen",2.000000,"2013-07-26","12:43:34.306",17.000000,1.000000,1.000000,27.000000,66.000000,3.918131
"1614","4th_gen",2.000000,"2013-07-26","12:43:38.243",18.000000,2.000000,2.000000,25.000000,15.000000,4.433606
"1614","4th_gen",2.000000,"2013-07-26","12:43:42.712",19.000000,1.000000,1.000000,32.000000,51.000000,3.902489
"1614","4th_gen",2.000000,"2013-07-26","12:43:46.649",20.000000,1.000000,1.000000,27.000000,63.000000,3.793121
"1614","4th_gen",2.000000,"2013-07-26","12:43:50.476",21.000000,1.000000,1.000000,34.000000,18.000000,4.217175
"1614","4th_gen",2.000000,"2013-07-26","12:43:54.726",22.000000,2.000000,2.000000,35.000000,3.000000,3.883802
"1614","4th_gen",2.000000,"2013-07-26","12:43:58.647",23.000000,1.000000,1.000000,23.000000,65.000000,3.885372
"1614","4th_gen",2.000000,"2013-07-26","12:44:2.568",24.000000,1.000000,1.000000,36.000000,64.000000,3.916760
"1614","4th_gen",2.000000,"2013-07-26","12:44:6.505",25.000000,1.000000,1.000000,37.000000,8.000000,3.785803
"1614","4th_gen",2.000000,"2013-07-26","12:44:10.333",26.000000,2.000000,2.000000,39.000000,57.000000,3.851692
"1614","4th_gen",2.000000,"2013-07-26","12:44:14.208",27.000000,2.000000,2.000000,24.000000,14.000000,4.068452
"1614","4th_gen",2.000000,"2013-07-26","12:44:18.316",28.000000,2.000000,2.000000,34.000000,46.000000,3.718094
"1614","4th_gen",2.000000,"2013-07-26","12:44:22.066",29.000000,1.000000,1.000000,36.000000,40.000000,5.201747
"1614","4th_gen",2.000000,"2013-07-26","12:44:27.300",30.000000,1.000000,1.000000,39.000000,51.000000,4.557526
