# Date: 2013-8-22
# Start Time: 11:2:45.849
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1625","4th",1.000000,"2013-08-22","11:3:19.771",1.000000,2.000000,2.000000,36.000000,44.000000,4.197971
"1625","4th",1.000000,"2013-08-22","11:3:24.052",2.000000,2.000000,2.000000,31.000000,65.000000,3.873227
"1625","4th",1.000000,"2013-08-22","11:3:27.974",3.000000,1.000000,1.000000,25.000000,61.000000,3.880568
"1625","4th",1.000000,"2013-08-22","11:3:31.911",4.000000,1.000000,1.000000,38.000000,67.000000,3.981593
"1625","4th",1.000000,"2013-08-22","11:3:35.927",5.000000,2.000000,2.000000,32.000000,49.000000,3.943774
"1625","4th",1.000000,"2013-08-22","11:3:39.911",6.000000,2.000000,2.000000,30.000000,52.000000,3.843936
"1625","4th",1.000000,"2013-08-22","11:3:43.802",7.000000,1.000000,1.000000,39.000000,5.000000,3.859206
"1625","4th",1.000000,"2013-08-22","11:3:47.693",8.000000,1.000000,1.000000,22.000000,2.000000,3.860318
"1625","4th",1.000000,"2013-08-22","11:3:51.599",9.000000,2.000000,2.000000,30.000000,62.000000,3.875853
"1625","4th",1.000000,"2013-08-22","11:3:55.505",10.000000,2.000000,1.000000,33.000000,53.000000,3.851326
"1625","4th",1.000000,"2013-08-22","11:3:59.396",11.000000,1.000000,1.000000,39.000000,59.000000,3.861239
"1625","4th",1.000000,"2013-08-22","11:4:3.286",12.000000,2.000000,2.000000,33.000000,41.000000,3.762425
"1625","4th",1.000000,"2013-08-22","11:4:7.099",13.000000,1.000000,1.000000,30.000000,69.000000,3.766451
"1625","4th",1.000000,"2013-08-22","11:4:10.911",14.000000,2.000000,1.000000,28.000000,51.000000,3.990199
"1625","4th",1.000000,"2013-08-22","11:4:14.943",15.000000,1.000000,1.000000,31.000000,62.000000,3.864303
"1625","4th",1.000000,"2013-08-22","11:4:18.849",16.000000,1.000000,1.000000,32.000000,6.000000,3.991011
"1625","4th",1.000000,"2013-08-22","11:4:22.880",17.000000,1.000000,1.000000,35.000000,5.000000,4.594757
"1625","4th",1.000000,"2013-08-22","11:4:27.521",18.000000,2.000000,2.000000,33.000000,8.000000,3.774849
"1625","4th",1.000000,"2013-08-22","11:4:31.364",19.000000,2.000000,2.000000,28.000000,51.000000,3.825124
"1625","4th",1.000000,"2013-08-22","11:4:35.224",20.000000,1.000000,1.000000,29.000000,1.000000,3.842660
"1625","4th",1.000000,"2013-08-22","11:4:39.114",21.000000,1.000000,1.000000,28.000000,7.000000,3.819176
"1625","4th",1.000000,"2013-08-22","11:4:42.989",22.000000,2.000000,2.000000,36.000000,63.000000,3.966007
"1625","4th",1.000000,"2013-08-22","11:4:46.989",23.000000,1.000000,1.000000,28.000000,16.000000,3.860144
"1625","4th",1.000000,"2013-08-22","11:4:50.896",24.000000,1.000000,1.000000,36.000000,15.000000,3.827177
"1625","4th",1.000000,"2013-08-22","11:4:54.755",25.000000,2.000000,2.000000,24.000000,17.000000,3.927684
"1625","4th",1.000000,"2013-08-22","11:4:58.724",26.000000,1.000000,1.000000,27.000000,51.000000,3.845924
"1625","4th",1.000000,"2013-08-22","11:5:2.614",27.000000,1.000000,2.000000,37.000000,53.000000,5.061282
"1625","4th",1.000000,"2013-08-22","11:5:7.708",28.000000,2.000000,2.000000,36.000000,71.000000,3.791737
"1625","4th",1.000000,"2013-08-22","11:5:11.536",29.000000,1.000000,1.000000,37.000000,65.000000,3.847640
"1625","4th",1.000000,"2013-08-22","11:5:15.427",30.000000,2.000000,1.000000,24.000000,46.000000,3.811276
