# Date: 2014-2-20
# Start Time: 11:5:21.095
# dB Attenuation: -9.800000e+000
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1672","4th_gen",2.000000,"2014-02-20","11:5:33.032",1.000000,2.000000,2.000000,28.000000,64.000000,3.942911
"1672","4th_gen",2.000000,"2014-02-20","11:5:37.110",2.000000,1.000000,2.000000,39.000000,63.000000,3.769244
"1672","4th_gen",2.000000,"2014-02-20","11:5:40.970",3.000000,2.000000,2.000000,38.000000,6.000000,3.834106
"1672","4th_gen",2.000000,"2014-02-20","11:5:44.907",4.000000,1.000000,1.000000,39.000000,51.000000,3.812728
"1672","4th_gen",2.000000,"2014-02-20","11:5:48.829",5.000000,2.000000,2.000000,30.000000,1.000000,3.905141
"1672","4th_gen",2.000000,"2014-02-20","11:5:52.813",6.000000,2.000000,2.000000,28.000000,45.000000,3.769768
"1672","4th_gen",2.000000,"2014-02-20","11:5:56.688",7.000000,1.000000,1.000000,30.000000,61.000000,3.752270
"1672","4th_gen",2.000000,"2014-02-20","11:6:0.532",8.000000,1.000000,1.000000,32.000000,59.000000,3.924157
"1672","4th_gen",2.000000,"2014-02-20","11:6:4.547",9.000000,1.000000,1.000000,31.000000,6.000000,3.770298
"1672","4th_gen",2.000000,"2014-02-20","11:6:8.406",10.000000,1.000000,1.000000,35.000000,54.000000,3.837509
"1672","4th_gen",2.000000,"2014-02-20","11:6:12.312",11.000000,1.000000,1.000000,39.000000,20.000000,3.780371
"1672","4th_gen",2.000000,"2014-02-20","11:6:16.187",12.000000,2.000000,2.000000,34.000000,66.000000,3.756905
"1672","4th_gen",2.000000,"2014-02-20","11:6:20.031",13.000000,2.000000,2.000000,31.000000,67.000000,3.821849
"1672","4th_gen",2.000000,"2014-02-20","11:6:23.953",14.000000,1.000000,1.000000,27.000000,44.000000,3.740628
"1672","4th_gen",2.000000,"2014-02-20","11:6:27.781",15.000000,1.000000,1.000000,30.000000,51.000000,3.703247
"1672","4th_gen",2.000000,"2014-02-20","11:6:31.578",16.000000,1.000000,1.000000,31.000000,60.000000,3.697887
"1672","4th_gen",2.000000,"2014-02-20","11:6:35.374",17.000000,2.000000,2.000000,33.000000,18.000000,3.813657
"1672","4th_gen",2.000000,"2014-02-20","11:6:39.265",18.000000,2.000000,2.000000,24.000000,46.000000,3.759760
"1672","4th_gen",2.000000,"2014-02-20","11:6:43.109",19.000000,2.000000,2.000000,26.000000,20.000000,3.686108
"1672","4th_gen",2.000000,"2014-02-20","11:6:46.890",20.000000,2.000000,2.000000,23.000000,16.000000,3.713156
"1672","4th_gen",2.000000,"2014-02-20","11:6:50.702",21.000000,1.000000,1.000000,31.000000,60.000000,3.861994
"1672","4th_gen",2.000000,"2014-02-20","11:6:54.655",22.000000,2.000000,2.000000,25.000000,46.000000,3.925716
"1672","4th_gen",2.000000,"2014-02-20","11:6:58.686",23.000000,2.000000,1.000000,39.000000,5.000000,3.671016
"1672","4th_gen",2.000000,"2014-02-20","11:7:2.436",24.000000,1.000000,1.000000,36.000000,64.000000,3.786961
"1672","4th_gen",2.000000,"2014-02-20","11:7:6.327",25.000000,1.000000,1.000000,35.000000,48.000000,3.871358
"1672","4th_gen",2.000000,"2014-02-20","11:7:10.295",26.000000,1.000000,1.000000,37.000000,51.000000,3.678351
"1672","4th_gen",2.000000,"2014-02-20","11:7:14.061",27.000000,1.000000,1.000000,38.000000,1.000000,3.688573
"1672","4th_gen",2.000000,"2014-02-20","11:7:17.858",28.000000,1.000000,1.000000,39.000000,67.000000,3.818968
"1672","4th_gen",2.000000,"2014-02-20","11:7:21.764",29.000000,1.000000,1.000000,30.000000,52.000000,3.739475
"1672","4th_gen",2.000000,"2014-02-20","11:7:25.623",30.000000,1.000000,1.000000,35.000000,15.000000,3.894958
