# Date: 2014-2-17
# Start Time: 15:1:51.462
# dB Attenuation: -9.800000e+000
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1672","4th",7.000000,"2014-02-17","15:2:1.290",1.000000,1.000000,1.000000,39.000000,62.000000,3.862377
"1672","4th",7.000000,"2014-02-17","15:2:5.290",2.000000,1.000000,1.000000,23.000000,45.000000,3.718108
"1672","4th",7.000000,"2014-02-17","15:2:9.103",3.000000,1.000000,1.000000,38.000000,43.000000,3.813778
"1672","4th",7.000000,"2014-02-17","15:2:13.009",4.000000,1.000000,1.000000,28.000000,67.000000,3.818436
"1672","4th",7.000000,"2014-02-17","15:2:16.915",5.000000,1.000000,1.000000,37.000000,58.000000,3.858540
"1672","4th",7.000000,"2014-02-17","15:2:20.852",6.000000,2.000000,2.000000,21.000000,52.000000,3.893311
"1672","4th",7.000000,"2014-02-17","15:2:24.836",7.000000,2.000000,2.000000,25.000000,50.000000,3.841695
"1672","4th",7.000000,"2014-02-17","15:2:28.774",8.000000,2.000000,2.000000,37.000000,12.000000,3.798831
"1672","4th",7.000000,"2014-02-17","15:2:32.664",9.000000,1.000000,1.000000,28.000000,62.000000,3.849864
"1672","4th",7.000000,"2014-02-17","15:2:36.602",10.000000,1.000000,1.000000,25.000000,71.000000,3.746893
"1672","4th",7.000000,"2014-02-17","15:2:40.445",11.000000,2.000000,2.000000,26.000000,9.000000,3.819382
"1672","4th",7.000000,"2014-02-17","15:2:44.351",12.000000,2.000000,1.000000,29.000000,43.000000,4.351028
"1672","4th",7.000000,"2014-02-17","15:2:48.789",13.000000,1.000000,1.000000,32.000000,46.000000,3.773073
"1672","4th",7.000000,"2014-02-17","15:2:52.648",14.000000,1.000000,1.000000,24.000000,49.000000,3.968845
"1672","4th",7.000000,"2014-02-17","15:2:56.695",15.000000,2.000000,2.000000,35.000000,58.000000,3.856988
"1672","4th",7.000000,"2014-02-17","15:3:0.648",16.000000,2.000000,2.000000,33.000000,3.000000,3.752653
"1672","4th",7.000000,"2014-02-17","15:3:4.491",17.000000,2.000000,2.000000,24.000000,50.000000,3.803993
"1672","4th",7.000000,"2014-02-17","15:3:8.382",18.000000,2.000000,2.000000,23.000000,57.000000,3.837662
"1672","4th",7.000000,"2014-02-17","15:3:12.304",19.000000,1.000000,2.000000,35.000000,9.000000,4.660009
"1672","4th",7.000000,"2014-02-17","15:3:17.038",20.000000,2.000000,2.000000,31.000000,59.000000,3.841973
"1672","4th",7.000000,"2014-02-17","15:3:20.960",21.000000,2.000000,2.000000,30.000000,6.000000,3.913130
"1672","4th",7.000000,"2014-02-17","15:3:24.960",22.000000,1.000000,1.000000,35.000000,55.000000,4.026420
"1672","4th",7.000000,"2014-02-17","15:3:29.069",23.000000,2.000000,2.000000,24.000000,68.000000,3.749296
"1672","4th",7.000000,"2014-02-17","15:3:32.912",24.000000,1.000000,2.000000,35.000000,11.000000,4.028758
"1672","4th",7.000000,"2014-02-17","15:3:37.022",25.000000,2.000000,2.000000,32.000000,18.000000,3.823172
"1672","4th",7.000000,"2014-02-17","15:3:40.928",26.000000,2.000000,2.000000,30.000000,6.000000,4.008945
"1672","4th",7.000000,"2014-02-17","15:3:45.022",27.000000,2.000000,2.000000,27.000000,49.000000,3.818755
"1672","4th",7.000000,"2014-02-17","15:3:48.928",28.000000,2.000000,1.000000,37.000000,70.000000,3.885742
"1672","4th",7.000000,"2014-02-17","15:3:52.912",29.000000,1.000000,1.000000,35.000000,1.000000,3.966006
"1672","4th",7.000000,"2014-02-17","15:3:56.974",30.000000,1.000000,2.000000,22.000000,6.000000,4.116885
