# Date: 2013-8-5
# Start Time: 17:11:57.248
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:5.608",1.000000,2.000000,2.000000,37.000000,40.000000,4.519124
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:10.202",2.000000,2.000000,2.000000,31.000000,14.000000,4.346581
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:14.608",3.000000,1.000000,1.000000,25.000000,41.000000,4.673758
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:19.327",4.000000,1.000000,2.000000,36.000000,48.000000,4.326487
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:23.686",5.000000,2.000000,1.000000,24.000000,6.000000,4.667187
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:28.373",6.000000,2.000000,2.000000,36.000000,15.000000,4.750098
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:33.170",7.000000,1.000000,2.000000,39.000000,9.000000,3.717580
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:36.920",8.000000,1.000000,1.000000,25.000000,66.000000,4.084348
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:41.030",9.000000,2.000000,1.000000,27.000000,50.000000,4.250976
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:45.311",10.000000,2.000000,2.000000,39.000000,68.000000,4.467371
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:49.811",11.000000,1.000000,1.000000,29.000000,42.000000,4.451315
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:54.295",12.000000,2.000000,1.000000,34.000000,71.000000,4.531642
"1620","4th_no_sound",1.000000,"2013-08-05","17:12:58.858",13.000000,2.000000,2.000000,38.000000,5.000000,4.518152
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:3.420",14.000000,2.000000,1.000000,26.000000,1.000000,4.448934
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:7.905",15.000000,2.000000,2.000000,29.000000,58.000000,4.533599
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:12.467",16.000000,1.000000,2.000000,28.000000,49.000000,4.549619
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:17.061",17.000000,1.000000,1.000000,33.000000,45.000000,4.535810
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:21.623",18.000000,1.000000,1.000000,28.000000,7.000000,4.533639
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:26.202",19.000000,2.000000,2.000000,35.000000,60.000000,4.583843
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:30.811",20.000000,1.000000,1.000000,38.000000,61.000000,4.516700
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:35.358",21.000000,1.000000,2.000000,25.000000,44.000000,4.899587
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:40.295",22.000000,2.000000,1.000000,29.000000,69.000000,4.594994
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:44.936",23.000000,2.000000,2.000000,24.000000,17.000000,4.581978
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:49.545",24.000000,1.000000,2.000000,23.000000,69.000000,4.683201
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:54.264",25.000000,1.000000,1.000000,29.000000,45.000000,4.465936
"1620","4th_no_sound",1.000000,"2013-08-05","17:13:58.764",26.000000,2.000000,1.000000,26.000000,58.000000,4.483387
"1620","4th_no_sound",1.000000,"2013-08-05","17:14:3.280",27.000000,1.000000,2.000000,21.000000,5.000000,4.516722
"1620","4th_no_sound",1.000000,"2013-08-05","17:14:7.827",28.000000,2.000000,1.000000,26.000000,63.000000,4.550070
"1620","4th_no_sound",1.000000,"2013-08-05","17:14:12.420",29.000000,2.000000,2.000000,21.000000,18.000000,4.550119
"1620","4th_no_sound",1.000000,"2013-08-05","17:14:16.998",30.000000,1.000000,2.000000,23.000000,43.000000,4.467162
