# Date: 2014-2-6
# Start Time: 12:37:16.128
# dB Attenuation: -1.010000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1665","4th",1.000000,"2014-02-06","12:38:1.539",1.000000,2.000000,2.000000,36.000000,44.000000,3.956176
"1665","4th",1.000000,"2014-02-06","12:38:5.625",2.000000,2.000000,2.000000,31.000000,65.000000,3.966186
"1665","4th",1.000000,"2014-02-06","12:38:9.648",3.000000,1.000000,1.000000,25.000000,61.000000,3.860818
"1665","4th",1.000000,"2014-02-06","12:38:13.579",4.000000,1.000000,1.000000,38.000000,67.000000,3.960472
"1665","4th",1.000000,"2014-02-06","12:38:17.603",5.000000,2.000000,1.000000,32.000000,49.000000,4.879422
"1665","4th",1.000000,"2014-02-06","12:38:22.543",6.000000,2.000000,2.000000,30.000000,52.000000,4.032801
"1665","4th",1.000000,"2014-02-06","12:38:26.645",7.000000,1.000000,1.000000,39.000000,5.000000,3.911336
"1665","4th",1.000000,"2014-02-06","12:38:30.622",8.000000,1.000000,1.000000,22.000000,2.000000,4.331243
"1665","4th",1.000000,"2014-02-06","12:38:35.003",9.000000,2.000000,1.000000,30.000000,62.000000,5.576553
"1665","4th",1.000000,"2014-02-06","12:38:40.642",10.000000,2.000000,1.000000,33.000000,53.000000,4.909141
"1665","4th",1.000000,"2014-02-06","12:38:45.707",11.000000,1.000000,1.000000,39.000000,59.000000,3.772112
"1665","4th",1.000000,"2014-02-06","12:38:49.544",12.000000,2.000000,2.000000,33.000000,41.000000,4.397478
"1665","4th",1.000000,"2014-02-06","12:38:54.003",13.000000,1.000000,1.000000,30.000000,69.000000,3.776055
"1665","4th",1.000000,"2014-02-06","12:38:57.840",14.000000,2.000000,2.000000,28.000000,51.000000,3.979189
"1665","4th",1.000000,"2014-02-06","12:39:1.895",15.000000,1.000000,1.000000,31.000000,62.000000,3.835856
"1665","4th",1.000000,"2014-02-06","12:39:5.810",16.000000,1.000000,1.000000,32.000000,6.000000,3.823867
"1665","4th",1.000000,"2014-02-06","12:39:9.694",17.000000,1.000000,1.000000,35.000000,5.000000,3.861876
"1665","4th",1.000000,"2014-02-06","12:39:13.625",18.000000,2.000000,2.000000,33.000000,8.000000,3.663978
"1665","4th",1.000000,"2014-02-06","12:39:17.353",19.000000,2.000000,2.000000,28.000000,51.000000,3.811545
"1665","4th",1.000000,"2014-02-06","12:39:21.222",20.000000,1.000000,1.000000,29.000000,1.000000,4.197915
"1665","4th",1.000000,"2014-02-06","12:39:25.494",21.000000,1.000000,1.000000,28.000000,7.000000,3.977253
"1665","4th",1.000000,"2014-02-06","12:39:29.533",22.000000,2.000000,2.000000,36.000000,63.000000,3.861905
"1665","4th",1.000000,"2014-02-06","12:39:33.448",23.000000,1.000000,1.000000,28.000000,16.000000,3.930858
"1665","4th",1.000000,"2014-02-06","12:39:37.472",24.000000,1.000000,1.000000,36.000000,15.000000,4.053656
"1665","4th",1.000000,"2014-02-06","12:39:41.605",25.000000,2.000000,2.000000,24.000000,17.000000,3.838703
"1665","4th",1.000000,"2014-02-06","12:39:45.504",26.000000,1.000000,1.000000,27.000000,51.000000,3.791254
"1665","4th",1.000000,"2014-02-06","12:39:49.378",27.000000,1.000000,1.000000,37.000000,53.000000,4.525050
"1665","4th",1.000000,"2014-02-06","12:39:53.978",28.000000,2.000000,2.000000,36.000000,71.000000,3.810556
"1665","4th",1.000000,"2014-02-06","12:39:57.860",29.000000,1.000000,1.000000,37.000000,65.000000,3.871850
"1665","4th",1.000000,"2014-02-06","12:40:1.821",30.000000,2.000000,2.000000,24.000000,46.000000,4.003723
