# Date: 2014-2-13
# Start Time: 13:55:2.054
# dB Attenuation: -1.010000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1670","4th_gen",3.000000,"2014-02-13","13:55:9.114",1.000000,1.000000,1.000000,31.000000,59.000000,3.930491
"1670","4th_gen",3.000000,"2014-02-13","13:55:13.160",2.000000,2.000000,2.000000,29.000000,55.000000,3.833595
"1670","4th_gen",3.000000,"2014-02-13","13:55:17.065",3.000000,2.000000,2.000000,21.000000,57.000000,3.990598
"1670","4th_gen",3.000000,"2014-02-13","13:55:21.142",4.000000,2.000000,2.000000,30.000000,46.000000,3.867345
"1670","4th_gen",3.000000,"2014-02-13","13:55:25.078",5.000000,2.000000,2.000000,27.000000,49.000000,3.857296
"1670","4th_gen",3.000000,"2014-02-13","13:55:29.014",6.000000,2.000000,1.000000,37.000000,7.000000,3.789710
"1670","4th_gen",3.000000,"2014-02-13","13:55:32.872",7.000000,2.000000,2.000000,39.000000,58.000000,3.825486
"1670","4th_gen",3.000000,"2014-02-13","13:55:36.777",8.000000,1.000000,1.000000,28.000000,7.000000,5.074580
"1670","4th_gen",3.000000,"2014-02-13","13:55:41.932",9.000000,1.000000,1.000000,35.000000,20.000000,4.307679
"1670","4th_gen",3.000000,"2014-02-13","13:55:46.306",10.000000,2.000000,1.000000,36.000000,43.000000,4.137546
"1670","4th_gen",3.000000,"2014-02-13","13:55:50.523",11.000000,2.000000,2.000000,35.000000,63.000000,3.854053
"1670","4th_gen",3.000000,"2014-02-13","13:55:54.459",12.000000,1.000000,1.000000,29.000000,53.000000,4.185076
"1670","4th_gen",3.000000,"2014-02-13","13:55:58.724",13.000000,2.000000,2.000000,22.000000,12.000000,4.180928
"1670","4th_gen",3.000000,"2014-02-13","13:56:2.988",14.000000,2.000000,2.000000,25.000000,63.000000,3.820710
"1670","4th_gen",3.000000,"2014-02-13","13:56:6.893",15.000000,2.000000,2.000000,21.000000,56.000000,3.802548
"1670","4th_gen",3.000000,"2014-02-13","13:56:10.767",16.000000,1.000000,1.000000,32.000000,42.000000,4.088627
"1670","4th_gen",3.000000,"2014-02-13","13:56:14.953",17.000000,2.000000,1.000000,30.000000,20.000000,4.310276
"1670","4th_gen",3.000000,"2014-02-13","13:56:19.342",18.000000,1.000000,1.000000,39.000000,13.000000,5.182627
"1670","4th_gen",3.000000,"2014-02-13","13:56:24.590",19.000000,1.000000,1.000000,37.000000,64.000000,3.875512
"1670","4th_gen",3.000000,"2014-02-13","13:56:28.542",20.000000,2.000000,2.000000,28.000000,67.000000,4.035431
"1670","4th_gen",3.000000,"2014-02-13","13:56:32.666",21.000000,2.000000,2.000000,35.000000,56.000000,3.825178
"1670","4th_gen",3.000000,"2014-02-13","13:56:36.555",22.000000,1.000000,1.000000,30.000000,20.000000,6.543926
"1670","4th_gen",3.000000,"2014-02-13","13:56:43.178",23.000000,2.000000,2.000000,21.000000,6.000000,4.251022
"1670","4th_gen",3.000000,"2014-02-13","13:56:47.505",24.000000,2.000000,2.000000,31.000000,19.000000,3.836863
"1670","4th_gen",3.000000,"2014-02-13","13:56:51.426",25.000000,2.000000,2.000000,28.000000,65.000000,4.036382
"1670","4th_gen",3.000000,"2014-02-13","13:56:55.534",26.000000,1.000000,1.000000,21.000000,69.000000,3.904354
"1670","4th_gen",3.000000,"2014-02-13","13:56:59.533",27.000000,1.000000,1.000000,30.000000,6.000000,3.831573
"1670","4th_gen",3.000000,"2014-02-13","13:57:3.438",28.000000,1.000000,1.000000,33.000000,42.000000,3.874612
"1670","4th_gen",3.000000,"2014-02-13","13:57:7.389",29.000000,1.000000,2.000000,24.000000,44.000000,4.998437
"1670","4th_gen",3.000000,"2014-02-13","13:57:12.466",30.000000,1.000000,1.000000,37.000000,64.000000,4.090982
