# Date: 2014-2-11
# Start Time: 15:12:36.792
# dB Attenuation: -9.800000e+000
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1671","4th_fam",2.000000,"2014-02-11","15:12:45.994",1.000000,2.000000,1.000000,37.000000,52.000000,4.460929
"1671","4th_fam",2.000000,"2014-02-11","15:12:50.602",2.000000,1.000000,2.000000,25.000000,50.000000,4.320820
"1671","4th_fam",2.000000,"2014-02-11","15:12:55.023",3.000000,2.000000,1.000000,33.000000,66.000000,4.353232
"1671","4th_fam",2.000000,"2014-02-11","15:12:59.460",4.000000,2.000000,1.000000,38.000000,20.000000,4.289970
"1671","4th_fam",2.000000,"2014-02-11","15:13:3.850",5.000000,2.000000,2.000000,31.000000,55.000000,3.879576
"1671","4th_fam",2.000000,"2014-02-11","15:13:7.833",6.000000,2.000000,1.000000,21.000000,3.000000,4.144568
"1671","4th_fam",2.000000,"2014-02-11","15:13:12.067",7.000000,1.000000,1.000000,30.000000,54.000000,3.997061
"1671","4th_fam",2.000000,"2014-02-11","15:13:16.160",8.000000,1.000000,2.000000,31.000000,66.000000,5.430624
"1671","4th_fam",2.000000,"2014-02-11","15:13:21.675",9.000000,1.000000,1.000000,33.000000,8.000000,4.170465
"1671","4th_fam",2.000000,"2014-02-11","15:13:25.955",10.000000,1.000000,1.000000,29.000000,4.000000,4.032758
"1671","4th_fam",2.000000,"2014-02-11","15:13:30.079",11.000000,1.000000,2.000000,24.000000,59.000000,4.162655
"1671","4th_fam",2.000000,"2014-02-11","15:13:34.344",12.000000,1.000000,2.000000,21.000000,13.000000,5.308159
"1671","4th_fam",2.000000,"2014-02-11","15:13:39.749",13.000000,1.000000,1.000000,31.000000,15.000000,4.032209
"1671","4th_fam",2.000000,"2014-02-11","15:13:43.889",14.000000,1.000000,1.000000,30.000000,63.000000,4.145104
"1671","4th_fam",2.000000,"2014-02-11","15:13:48.107",15.000000,2.000000,2.000000,29.000000,54.000000,3.922039
"1671","4th_fam",2.000000,"2014-02-11","15:13:52.153",16.000000,2.000000,2.000000,25.000000,5.000000,4.655532
"1671","4th_fam",2.000000,"2014-02-11","15:13:56.918",17.000000,1.000000,1.000000,33.000000,63.000000,3.924378
"1671","4th_fam",2.000000,"2014-02-11","15:14:0.964",18.000000,1.000000,2.000000,39.000000,2.000000,3.733480
"1671","4th_fam",2.000000,"2014-02-11","15:14:4.792",19.000000,2.000000,1.000000,23.000000,5.000000,5.675141
"1671","4th_fam",2.000000,"2014-02-11","15:14:10.556",20.000000,2.000000,2.000000,32.000000,57.000000,4.199498
"1671","4th_fam",2.000000,"2014-02-11","15:14:14.837",21.000000,1.000000,1.000000,35.000000,68.000000,4.254068
"1671","4th_fam",2.000000,"2014-02-11","15:14:19.180",22.000000,2.000000,2.000000,37.000000,55.000000,3.881808
"1671","4th_fam",2.000000,"2014-02-11","15:14:23.148",23.000000,2.000000,1.000000,36.000000,52.000000,4.591708
"1671","4th_fam",2.000000,"2014-02-11","15:14:27.850",24.000000,1.000000,1.000000,24.000000,62.000000,4.083407
"1671","4th_fam",2.000000,"2014-02-11","15:14:32.037",25.000000,1.000000,1.000000,21.000000,71.000000,5.558648
"1671","4th_fam",2.000000,"2014-02-11","15:14:37.707",26.000000,1.000000,1.000000,27.000000,61.000000,4.507289
"1671","4th_fam",2.000000,"2014-02-11","15:14:42.316",27.000000,2.000000,2.000000,33.000000,40.000000,4.009008
"1671","4th_fam",2.000000,"2014-02-11","15:14:46.440",28.000000,1.000000,1.000000,31.000000,54.000000,5.347469
"1671","4th_fam",2.000000,"2014-02-11","15:14:51.908",29.000000,1.000000,1.000000,29.000000,2.000000,4.159417
"1671","4th_fam",2.000000,"2014-02-11","15:14:56.173",30.000000,2.000000,1.000000,33.000000,45.000000,4.504915
