# Date: 2013-8-12
# Start Time: 16:42:23.469
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1622","4th_fam",1.000000,"2013-08-12","16:42:25.171",1.000000,2.000000,1.000000,30.000000,48.000000,6.141757
"1622","4th_fam",1.000000,"2013-08-12","16:42:31.405",2.000000,2.000000,2.000000,32.000000,66.000000,6.279466
"1622","4th_fam",1.000000,"2013-08-12","16:42:37.732",3.000000,1.000000,1.000000,36.000000,12.000000,6.824613
"1622","4th_fam",1.000000,"2013-08-12","16:42:44.591",4.000000,1.000000,1.000000,25.000000,18.000000,6.307646
"1622","4th_fam",1.000000,"2013-08-12","16:42:50.934",5.000000,2.000000,2.000000,30.000000,42.000000,4.964802
"1622","4th_fam",1.000000,"2013-08-12","16:42:55.933",6.000000,1.000000,1.000000,34.000000,11.000000,5.466643
"1622","4th_fam",1.000000,"2013-08-12","16:43:1.432",7.000000,1.000000,2.000000,22.000000,51.000000,4.784114
"1622","4th_fam",1.000000,"2013-08-12","16:43:6.244",8.000000,1.000000,1.000000,23.000000,48.000000,4.828653
"1622","4th_fam",1.000000,"2013-08-12","16:43:11.118",9.000000,2.000000,1.000000,36.000000,54.000000,6.601202
"1622","4th_fam",1.000000,"2013-08-12","16:43:17.743",10.000000,2.000000,1.000000,23.000000,66.000000,4.584256
"1622","4th_fam",1.000000,"2013-08-12","16:43:22.367",11.000000,2.000000,1.000000,39.000000,13.000000,4.866477
"1622","4th_fam",1.000000,"2013-08-12","16:43:27.257",12.000000,2.000000,1.000000,29.000000,63.000000,4.880274
"1622","4th_fam",1.000000,"2013-08-12","16:43:32.178",13.000000,1.000000,2.000000,22.000000,58.000000,5.400713
"1622","4th_fam",1.000000,"2013-08-12","16:43:37.615",14.000000,2.000000,1.000000,29.000000,69.000000,4.717331
"1622","4th_fam",1.000000,"2013-08-12","16:43:42.364",15.000000,2.000000,2.000000,22.000000,8.000000,8.334127
"1622","4th_fam",1.000000,"2013-08-12","16:43:50.722",16.000000,2.000000,1.000000,29.000000,14.000000,5.099549
"1622","4th_fam",1.000000,"2013-08-12","16:43:55.862",17.000000,1.000000,2.000000,26.000000,47.000000,4.582263
"1622","4th_fam",1.000000,"2013-08-12","16:44:0.471",18.000000,1.000000,1.000000,39.000000,42.000000,4.682734
"1622","4th_fam",1.000000,"2013-08-12","16:44:5.189",19.000000,1.000000,1.000000,27.000000,4.000000,4.767411
"1622","4th_fam",1.000000,"2013-08-12","16:44:9.985",20.000000,2.000000,1.000000,28.000000,71.000000,4.448950
"1622","4th_fam",1.000000,"2013-08-12","16:44:14.469",21.000000,1.000000,2.000000,21.000000,52.000000,6.500015
"1622","4th_fam",1.000000,"2013-08-12","16:44:21.000",22.000000,2.000000,2.000000,29.000000,65.000000,4.383749
"1622","4th_fam",1.000000,"2013-08-12","16:44:25.421",23.000000,1.000000,1.000000,28.000000,71.000000,4.900687
"1622","4th_fam",1.000000,"2013-08-12","16:44:30.358",24.000000,2.000000,1.000000,34.000000,14.000000,4.632454
"1622","4th_fam",1.000000,"2013-08-12","16:44:35.013",25.000000,1.000000,1.000000,33.000000,66.000000,4.617813
"1622","4th_fam",1.000000,"2013-08-12","16:44:39.669",26.000000,1.000000,2.000000,23.000000,20.000000,4.815479
"1622","4th_fam",1.000000,"2013-08-12","16:44:44.512",27.000000,2.000000,1.000000,21.000000,11.000000,4.767623
"1622","4th_fam",1.000000,"2013-08-12","16:44:49.308",28.000000,1.000000,2.000000,34.000000,59.000000,4.633647
"1622","4th_fam",1.000000,"2013-08-12","16:44:53.980",29.000000,1.000000,1.000000,29.000000,56.000000,4.498961
"1622","4th_fam",1.000000,"2013-08-12","16:44:58.510",30.000000,1.000000,1.000000,37.000000,50.000000,4.901031
