# Date: 2013-8-15
# Start Time: 16:44:43.502
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1622","4th_gen",2.000000,"2013-08-15","16:44:53.642",1.000000,2.000000,1.000000,33.000000,3.000000,3.948285
"1622","4th_gen",2.000000,"2013-08-15","16:44:57.658",2.000000,2.000000,2.000000,25.000000,13.000000,3.715894
"1622","4th_gen",2.000000,"2013-08-15","16:45:1.408",3.000000,2.000000,2.000000,36.000000,10.000000,3.908448
"1622","4th_gen",2.000000,"2013-08-15","16:45:5.361",4.000000,1.000000,1.000000,38.000000,70.000000,3.942049
"1622","4th_gen",2.000000,"2013-08-15","16:45:9.330",5.000000,1.000000,1.000000,30.000000,53.000000,3.934666
"1622","4th_gen",2.000000,"2013-08-15","16:45:13.299",6.000000,2.000000,1.000000,35.000000,10.000000,4.116953
"1622","4th_gen",2.000000,"2013-08-15","16:45:17.455",7.000000,1.000000,1.000000,25.000000,58.000000,3.934560
"1622","4th_gen",2.000000,"2013-08-15","16:45:21.424",8.000000,1.000000,2.000000,38.000000,64.000000,4.799494
"1622","4th_gen",2.000000,"2013-08-15","16:45:26.252",9.000000,1.000000,1.000000,34.000000,53.000000,3.884291
"1622","4th_gen",2.000000,"2013-08-15","16:45:30.174",10.000000,1.000000,1.000000,37.000000,52.000000,3.933401
"1622","4th_gen",2.000000,"2013-08-15","16:45:34.142",11.000000,2.000000,1.000000,33.000000,44.000000,3.935364
"1622","4th_gen",2.000000,"2013-08-15","16:45:38.111",12.000000,2.000000,2.000000,26.000000,4.000000,3.883611
"1622","4th_gen",2.000000,"2013-08-15","16:45:42.017",13.000000,2.000000,2.000000,30.000000,51.000000,3.818266
"1622","4th_gen",2.000000,"2013-08-15","16:45:45.877",14.000000,2.000000,1.000000,26.000000,41.000000,3.915580
"1622","4th_gen",2.000000,"2013-08-15","16:45:49.814",15.000000,1.000000,1.000000,28.000000,65.000000,4.034596
"1622","4th_gen",2.000000,"2013-08-15","16:45:53.892",16.000000,2.000000,2.000000,22.000000,59.000000,3.851603
"1622","4th_gen",2.000000,"2013-08-15","16:45:57.767",17.000000,2.000000,2.000000,27.000000,63.000000,4.451109
"1622","4th_gen",2.000000,"2013-08-15","16:46:2.252",18.000000,1.000000,1.000000,36.000000,53.000000,4.067059
"1622","4th_gen",2.000000,"2013-08-15","16:46:6.361",19.000000,1.000000,1.000000,24.000000,66.000000,4.067023
"1622","4th_gen",2.000000,"2013-08-15","16:46:10.455",20.000000,2.000000,2.000000,27.000000,65.000000,4.334282
"1622","4th_gen",2.000000,"2013-08-15","16:46:14.814",21.000000,1.000000,1.000000,26.000000,20.000000,4.100694
"1622","4th_gen",2.000000,"2013-08-15","16:46:18.955",22.000000,1.000000,2.000000,35.000000,59.000000,4.113802
"1622","4th_gen",2.000000,"2013-08-15","16:46:23.096",23.000000,1.000000,1.000000,36.000000,8.000000,4.067717
"1622","4th_gen",2.000000,"2013-08-15","16:46:27.205",24.000000,1.000000,1.000000,31.000000,6.000000,3.934139
"1622","4th_gen",2.000000,"2013-08-15","16:46:31.174",25.000000,1.000000,1.000000,34.000000,11.000000,4.017916
"1622","4th_gen",2.000000,"2013-08-15","16:46:35.221",26.000000,1.000000,1.000000,22.000000,43.000000,4.179912
"1622","4th_gen",2.000000,"2013-08-15","16:46:39.439",27.000000,2.000000,2.000000,27.000000,56.000000,4.001311
"1622","4th_gen",2.000000,"2013-08-15","16:46:43.471",28.000000,2.000000,2.000000,25.000000,63.000000,4.017266
"1622","4th_gen",2.000000,"2013-08-15","16:46:47.517",29.000000,2.000000,2.000000,31.000000,50.000000,3.917901
"1622","4th_gen",2.000000,"2013-08-15","16:46:51.471",30.000000,1.000000,1.000000,27.000000,15.000000,3.965889
