# Date: 2013-11-21
# Start Time: 16:9:50.193
# dB Attenuation: -1.780000e+001
# Sample rate: 44100
#
sid,condition,block_index,date,time,trialnum,signal_interval,response_interval,signal,standard,trialdur
"1658","4th",4.000000,"2013-11-21","16:9:57.208",1.000000,1.000000,1.000000,39.000000,15.000000,3.756700
"1658","4th",4.000000,"2013-11-21","16:10:1.036",2.000000,2.000000,2.000000,28.000000,13.000000,3.762237
"1658","4th",4.000000,"2013-11-21","16:10:4.833",3.000000,2.000000,2.000000,31.000000,50.000000,4.187722
"1658","4th",4.000000,"2013-11-21","16:10:9.068",4.000000,1.000000,1.000000,38.000000,42.000000,3.824802
"1658","4th",4.000000,"2013-11-21","16:10:12.927",5.000000,2.000000,2.000000,26.000000,67.000000,3.829136
"1658","4th",4.000000,"2013-11-21","16:10:16.802",6.000000,1.000000,1.000000,30.000000,17.000000,3.715802
"1658","4th",4.000000,"2013-11-21","16:10:20.552",7.000000,2.000000,1.000000,31.000000,62.000000,4.567384
"1658","4th",4.000000,"2013-11-21","16:10:25.146",8.000000,1.000000,1.000000,34.000000,54.000000,3.864799
"1658","4th",4.000000,"2013-11-21","16:10:29.052",9.000000,1.000000,1.000000,26.000000,16.000000,3.815647
"1658","4th",4.000000,"2013-11-21","16:10:32.896",10.000000,2.000000,2.000000,21.000000,9.000000,3.799775
"1658","4th",4.000000,"2013-11-21","16:10:36.724",11.000000,1.000000,1.000000,26.000000,12.000000,4.200902
"1658","4th",4.000000,"2013-11-21","16:10:40.958",12.000000,2.000000,2.000000,21.000000,10.000000,3.849208
"1658","4th",4.000000,"2013-11-21","16:10:44.849",13.000000,1.000000,1.000000,26.000000,40.000000,3.881455
"1658","4th",4.000000,"2013-11-21","16:10:48.755",14.000000,2.000000,2.000000,33.000000,61.000000,3.782998
"1658","4th",4.000000,"2013-11-21","16:10:52.583",15.000000,1.000000,1.000000,21.000000,15.000000,3.732740
"1658","4th",4.000000,"2013-11-21","16:10:56.349",16.000000,2.000000,2.000000,22.000000,63.000000,3.814729
"1658","4th",4.000000,"2013-11-21","16:11:0.193",17.000000,2.000000,2.000000,38.000000,71.000000,3.883075
"1658","4th",4.000000,"2013-11-21","16:11:4.115",18.000000,2.000000,2.000000,37.000000,69.000000,3.957874
"1658","4th",4.000000,"2013-11-21","16:11:8.115",19.000000,1.000000,1.000000,30.000000,47.000000,3.792261
"1658","4th",4.000000,"2013-11-21","16:11:11.943",20.000000,1.000000,1.000000,33.000000,54.000000,3.781649
"1658","4th",4.000000,"2013-11-21","16:11:15.755",21.000000,1.000000,2.000000,37.000000,41.000000,3.900148
"1658","4th",4.000000,"2013-11-21","16:11:19.693",22.000000,2.000000,2.000000,25.000000,59.000000,3.715280
"1658","4th",4.000000,"2013-11-21","16:11:23.443",23.000000,1.000000,1.000000,27.000000,71.000000,4.099504
"1658","4th",4.000000,"2013-11-21","16:11:27.583",24.000000,2.000000,2.000000,35.000000,57.000000,3.848912
"1658","4th",4.000000,"2013-11-21","16:11:31.458",25.000000,2.000000,2.000000,31.000000,53.000000,4.083318
"1658","4th",4.000000,"2013-11-21","16:11:35.583",26.000000,1.000000,1.000000,37.000000,19.000000,3.765233
"1658","4th",4.000000,"2013-11-21","16:11:39.380",27.000000,1.000000,1.000000,24.000000,53.000000,3.840848
"1658","4th",4.000000,"2013-11-21","16:11:43.271",28.000000,2.000000,1.000000,29.000000,44.000000,3.910503
"1658","4th",4.000000,"2013-11-21","16:11:47.208",29.000000,2.000000,2.000000,22.000000,68.000000,3.862668
"1658","4th",4.000000,"2013-11-21","16:11:51.115",30.000000,1.000000,1.000000,31.000000,6.000000,3.882667
