"","sid","condition","block_index","date","time","trialnum","stimulus_label","response_label","stimulus","trialdur","regimen","day","correct"
"1","1611","label",1,"2013-07-19","15:50:37.913",1,1,1,1,8.624351,"AP",4,TRUE
"2","1611","label",1,"2013-07-19","15:50:46.616",2,4,3,59,3.797843,"AP",4,FALSE
"3","1611","label",1,"2013-07-19","15:50:50.444",3,2,2,35,2.743269,"AP",4,TRUE
"4","1611","label",1,"2013-07-19","15:50:53.226",4,1,3,20,6.259609,"AP",4,FALSE
"5","1611","label",1,"2013-07-19","15:50:59.522",5,3,3,46,6.179679,"AP",4,TRUE
"6","1611","label",1,"2013-07-19","15:51:5.741",6,2,2,39,2.901914,"AP",4,TRUE
"7","1611","label",1,"2013-07-19","15:51:8.679",7,2,2,26,2.752323,"AP",4,TRUE
"8","1611","label",1,"2013-07-19","15:51:11.460",8,3,1,42,4.386011,"AP",4,FALSE
"9","1611","label",1,"2013-07-19","15:51:15.866",9,3,3,47,4.501576,"AP",4,TRUE
"10","1611","label",1,"2013-07-19","15:51:20.397",10,4,4,65,4.453309,"AP",4,TRUE
"11","1611","label",1,"2013-07-19","15:51:24.897",11,1,3,13,3.683496,"AP",4,FALSE
"12","1611","label",1,"2013-07-19","15:51:28.601",12,1,1,11,3.019833,"AP",4,TRUE
"13","1611","label",1,"2013-07-19","15:51:31.663",13,1,3,6,7.231403,"AP",4,FALSE
"14","1611","label",1,"2013-07-19","15:51:38.913",14,1,2,3,2.436004,"AP",4,FALSE
"15","1611","label",1,"2013-07-19","15:51:41.382",15,4,3,59,4.63531,"AP",4,FALSE
"16","1611","label",1,"2013-07-19","15:51:46.054",16,4,4,58,3.04826,"AP",4,TRUE
"17","1611","label",1,"2013-07-19","15:51:49.132",17,2,2,34,2.870454,"AP",4,TRUE
"18","1611","label",1,"2013-07-19","15:51:52.038",18,4,3,65,6.317086,"AP",4,FALSE
"19","1611","label",1,"2013-07-19","15:51:58.382",19,4,3,59,2.735842,"AP",4,FALSE
"20","1611","label",1,"2013-07-19","15:52:1.147",20,2,2,33,2.587963,"AP",4,TRUE
"21","1611","label",1,"2013-07-19","15:52:3.772",21,1,1,4,5.933889,"AP",4,TRUE
"22","1611","label",1,"2013-07-19","15:52:9.741",22,3,4,53,2.700451,"AP",4,FALSE
"23","1611","label",1,"2013-07-19","15:52:12.476",23,4,1,64,4.953534,"AP",4,FALSE
"24","1611","label",1,"2013-07-19","15:52:17.460",24,2,1,31,5.818831,"AP",4,FALSE
"25","1611","label",1,"2013-07-19","15:52:23.304",25,2,2,24,2.418839,"AP",4,TRUE
"26","1611","label",1,"2013-07-19","15:52:25.757",26,1,2,16,3.135233,"AP",4,FALSE
"27","1611","label",1,"2013-07-19","15:52:28.929",27,3,2,48,3.148687,"AP",4,FALSE
"28","1611","label",1,"2013-07-19","15:52:32.101",28,2,1,32,4.59898,"AP",4,FALSE
"29","1611","label",1,"2013-07-19","15:52:36.741",29,3,3,46,5.048814,"AP",4,TRUE
"30","1611","label",1,"2013-07-19","15:52:41.819",30,3,4,52,4.367407,"AP",4,FALSE
"31","1611","label",2,"2013-07-19","15:52:57.929",1,2,4,35,4.753453,"AP",4,FALSE
