"","sid","condition","block_index","date","time","trialnum","signal_interval","response_interval","signal","standard","trialdur","regimen","day","correct","foil_label","pretest"
"1","1611","4th_fam",1,"2013-07-16","15:35:56.560",1,1,1,23,67,7.793189,"AP",1,TRUE,"6th",0.691666666666667
"2","1611","4th_fam",1,"2013-07-16","15:36:4.372",2,2,1,31,11,4.489578,"AP",1,FALSE,"3rd",0.691666666666667
"3","1611","4th_fam",1,"2013-07-16","15:36:8.877",3,2,1,29,46,7.626191,"AP",1,FALSE,"5th",0.691666666666667
"4","1611","4th_fam",1,"2013-07-16","15:36:16.503",4,1,1,35,11,4.458536,"AP",1,TRUE,"3rd",0.691666666666667
"5","1611","4th_fam",1,"2013-07-16","15:36:20.961",5,1,2,23,65,4.601454,"AP",1,FALSE,"6th",0.691666666666667
"6","1611","4th_fam",1,"2013-07-16","15:36:25.574",6,1,2,21,68,6.816991,"AP",1,FALSE,"6th",0.691666666666667
"7","1611","4th_fam",1,"2013-07-16","15:36:32.377",7,1,1,29,51,6.301021,"AP",1,TRUE,"5th",0.691666666666667
"8","1611","4th_fam",1,"2013-07-16","15:36:38.683",8,2,2,35,62,4.683745,"AP",1,TRUE,"6th",0.691666666666667
"9","1611","4th_fam",1,"2013-07-16","15:36:43.373",9,1,1,33,64,4.300154,"AP",1,TRUE,"6th",0.691666666666667
"10","1611","4th_fam",1,"2013-07-16","15:36:47.676",10,1,2,26,9,5.317554,"AP",1,FALSE,"3rd",0.691666666666667
"11","1611","4th_fam",1,"2013-07-16","15:36:52.988",11,1,1,24,53,7.301554,"AP",1,TRUE,"5th",0.691666666666667
"12","1611","4th_fam",1,"2013-07-16","15:37:0.316",12,2,1,37,8,5.483557,"AP",1,FALSE,"3rd",0.691666666666667
"13","1611","4th_fam",1,"2013-07-16","15:37:5.820",13,2,2,28,17,4.369343,"AP",1,TRUE,"3rd",0.691666666666667
"14","1611","4th_fam",1,"2013-07-16","15:37:10.201",14,2,2,27,60,4.418244,"AP",1,TRUE,"6th",0.691666666666667
"15","1611","4th_fam",1,"2013-07-16","15:37:14.645",15,2,2,39,45,4.285079,"AP",1,TRUE,"5th",0.691666666666667
"16","1611","4th_fam",1,"2013-07-16","15:37:18.963",16,2,2,28,69,4.298929,"AP",1,TRUE,"6th",0.691666666666667
"17","1611","4th_fam",1,"2013-07-16","15:37:23.282",17,2,1,24,54,4.285636,"AP",1,FALSE,"5th",0.691666666666667
"18","1611","4th_fam",1,"2013-07-16","15:37:27.586",18,2,2,31,18,4.150372,"AP",1,TRUE,"3rd",0.691666666666667
"19","1611","4th_fam",1,"2013-07-16","15:37:31.764",19,1,2,23,43,4.168199,"AP",1,FALSE,"5th",0.691666666666667
"20","1611","4th_fam",1,"2013-07-16","15:37:35.958",20,2,1,35,54,4.550494,"AP",1,FALSE,"5th",0.691666666666667
"21","1611","4th_fam",1,"2013-07-16","15:37:40.527",21,1,1,26,65,4.316506,"AP",1,TRUE,"6th",0.691666666666667
"22","1611","4th_fam",1,"2013-07-16","15:37:44.861",22,2,1,23,3,4.567857,"AP",1,FALSE,"3rd",0.691666666666667
"23","1611","4th_fam",1,"2013-07-16","15:37:49.460",23,1,2,30,59,4.451496,"AP",1,FALSE,"6th",0.691666666666667
"24","1611","4th_fam",1,"2013-07-16","15:37:53.935",24,2,1,23,2,4.299713,"AP",1,FALSE,"3rd",0.691666666666667
"25","1611","4th_fam",1,"2013-07-16","15:37:58.254",25,2,2,32,70,4.40175,"AP",1,TRUE,"6th",0.691666666666667
"26","1611","4th_fam",1,"2013-07-16","15:38:2.682",26,2,2,31,17,4.933383,"AP",1,TRUE,"3rd",0.691666666666667
"27","1611","4th_fam",1,"2013-07-16","15:38:7.625",27,2,2,39,1,4.201312,"AP",1,TRUE,"3rd",0.691666666666667
"28","1611","4th_fam",1,"2013-07-16","15:38:11.850",28,2,1,32,56,4.150528,"AP",1,FALSE,"5th",0.691666666666667
"29","1611","4th_fam",1,"2013-07-16","15:38:16.028",29,1,1,29,52,4.335133,"AP",1,TRUE,"5th",0.691666666666667
"30","1611","4th_fam",1,"2013-07-16","15:38:20.394",30,2,2,30,55,3.984011,"AP",1,TRUE,"5th",0.691666666666667
"31","1611","4th_fam",2,"2013-07-16","15:39:2.369",1,1,1,31,14,4.178374,"AP",1,TRUE,"3rd",0.691666666666667
"32","1611","4th_fam",2,"2013-07-16","15:39:6.613",2,1,1,30,63,4.295899,"AP",1,TRUE,"6th",0.691666666666667
"33","1611","4th_fam",2,"2013-07-16","15:39:10.950",3,2,2,29,18,4.191371,"AP",1,TRUE,"3rd",0.691666666666667
"34","1611","4th_fam",2,"2013-07-16","15:39:15.177",4,2,2,25,60,4.690548,"AP",1,TRUE,"6th",0.691666666666667
"35","1611","4th_fam",2,"2013-07-16","15:39:19.889",5,1,1,33,47,4.147857,"AP",1,TRUE,"5th",0.691666666666667
"36","1611","4th_fam",2,"2013-07-16","15:39:24.070",6,1,1,39,58,4.032259,"AP",1,TRUE,"6th",0.691666666666667
"37","1611","4th_fam",2,"2013-07-16","15:39:28.126",7,2,2,23,42,4.000235,"AP",1,TRUE,"5th",0.691666666666667
"38","1611","4th_fam",2,"2013-07-16","15:39:32.151",8,2,2,32,57,4.014157,"AP",1,TRUE,"6th",0.691666666666667
"39","1611","4th_fam",2,"2013-07-16","15:39:36.191",9,1,1,35,52,4.400141,"AP",1,TRUE,"5th",0.691666666666667
"40","1611","4th_fam",2,"2013-07-16","15:39:40.622",10,2,1,37,19,4.267229,"AP",1,FALSE,"3rd",0.691666666666667
"41","1611","4th_fam",2,"2013-07-16","15:39:44.912",11,2,2,36,68,4.085493,"AP",1,TRUE,"6th",0.691666666666667
"42","1611","4th_fam",2,"2013-07-16","15:39:49.030",12,1,1,24,62,4.001276,"AP",1,TRUE,"6th",0.691666666666667
"43","1611","4th_fam",2,"2013-07-16","15:39:53.055",13,1,2,21,55,4.101522,"AP",1,FALSE,"5th",0.691666666666667
"44","1611","4th_fam",2,"2013-07-16","15:39:57.174",14,1,1,27,7,4.000857,"AP",1,TRUE,"3rd",0.691666666666667
"45","1611","4th_fam",2,"2013-07-16","15:40:1.198",15,2,2,33,1,3.869033,"AP",1,TRUE,"3rd",0.691666666666667
"46","1611","4th_fam",2,"2013-07-16","15:40:5.099",16,1,1,31,18,3.982611,"AP",1,TRUE,"3rd",0.691666666666667
"47","1611","4th_fam",2,"2013-07-16","15:40:9.108",17,1,1,29,57,3.984086,"AP",1,TRUE,"6th",0.691666666666667
"48","1611","4th_fam",2,"2013-07-16","15:40:13.117",18,2,1,33,7,3.966467,"AP",1,FALSE,"3rd",0.691666666666667
"49","1611","4th_fam",2,"2013-07-16","15:40:17.111",19,2,2,23,20,4.915014,"AP",1,TRUE,"3rd",0.691666666666667
"50","1611","4th_fam",2,"2013-07-16","15:40:22.056",20,1,1,34,19,3.950188,"AP",1,TRUE,"3rd",0.691666666666667
"51","1611","4th_fam",2,"2013-07-16","15:40:26.034",21,2,1,28,47,3.96892,"AP",1,FALSE,"5th",0.691666666666667
"52","1611","4th_fam",2,"2013-07-16","15:40:30.028",22,1,2,36,41,4.101039,"AP",1,FALSE,"5th",0.691666666666667
"53","1611","4th_fam",2,"2013-07-16","15:40:34.162",23,2,1,27,40,4.351717,"AP",1,FALSE,"5th",0.691666666666667
"54","1611","4th_fam",2,"2013-07-16","15:40:38.530",24,1,1,28,59,4.59934,"AP",1,TRUE,"6th",0.691666666666667
"55","1611","4th_fam",2,"2013-07-16","15:40:43.164",25,1,1,38,67,3.984799,"AP",1,TRUE,"6th",0.691666666666667
"56","1611","4th_fam",2,"2013-07-16","15:40:47.173",26,2,2,37,41,4.217745,"AP",1,TRUE,"5th",0.691666666666667
"57","1611","4th_fam",2,"2013-07-16","15:40:51.416",27,1,1,34,65,4.362822,"AP",1,TRUE,"6th",0.691666666666667
"58","1611","4th_fam",2,"2013-07-16","15:40:55.800",28,1,1,31,6,4.298476,"AP",1,TRUE,"3rd",0.691666666666667
"59","1611","4th_fam",2,"2013-07-16","15:41:0.137",29,1,2,24,55,4.184345,"AP",1,FALSE,"5th",0.691666666666667
"60","1611","4th_fam",2,"2013-07-16","15:41:4.349",30,1,1,26,40,3.997869,"AP",1,TRUE,"5th",0.691666666666667
"61","1611","4th",1,"2013-07-16","15:42:49.059",1,1,1,34,12,5.444215,"AP",1,TRUE,"3rd",0.691666666666667
"62","1611","4th",1,"2013-07-16","15:42:54.566",2,2,2,39,60,4.031801,"AP",1,TRUE,"6th",0.691666666666667
"63","1611","4th",1,"2013-07-16","15:42:58.637",3,1,1,25,63,4.077985,"AP",1,TRUE,"6th",0.691666666666667
"64","1611","4th",1,"2013-07-16","15:43:2.740",4,1,1,33,59,4.192764,"AP",1,TRUE,"6th",0.691666666666667
"65","1611","4th",1,"2013-07-16","15:43:6.968",5,2,2,35,45,3.984351,"AP",1,TRUE,"5th",0.691666666666667
"66","1611","4th",1,"2013-07-16","15:43:10.977",6,1,2,27,13,4.567873,"AP",1,FALSE,"3rd",0.691666666666667
"67","1611","4th",1,"2013-07-16","15:43:15.564",7,2,1,38,69,4.234937,"AP",1,FALSE,"6th",0.691666666666667
"68","1611","4th",1,"2013-07-16","15:43:19.823",8,2,2,35,46,4.096235,"AP",1,TRUE,"5th",0.691666666666667
"69","1611","4th",1,"2013-07-16","15:43:23.957",9,1,1,31,49,3.982925,"AP",1,TRUE,"5th",0.691666666666667
"70","1611","4th",1,"2013-07-16","15:43:27.966",10,1,2,25,47,4.36737,"AP",1,FALSE,"5th",0.691666666666667
"71","1611","4th",1,"2013-07-16","15:43:32.350",11,1,1,36,20,4.534135,"AP",1,TRUE,"3rd",0.691666666666667
"72","1611","4th",1,"2013-07-16","15:43:36.921",12,2,2,30,41,4.133462,"AP",1,TRUE,"5th",0.691666666666667
"73","1611","4th",1,"2013-07-16","15:43:41.071",13,2,1,39,42,5.000735,"AP",1,FALSE,"5th",0.691666666666667
"74","1611","4th",1,"2013-07-16","15:43:46.094",14,2,1,21,51,5.167453,"AP",1,FALSE,"5th",0.691666666666667
"75","1611","4th",1,"2013-07-16","15:43:51.289",15,2,2,31,18,3.998147,"AP",1,TRUE,"3rd",0.691666666666667
"76","1611","4th",1,"2013-07-16","15:43:55.314",16,1,1,33,42,4.284387,"AP",1,TRUE,"5th",0.691666666666667
"77","1611","4th",1,"2013-07-16","15:43:59.638",17,1,1,24,57,4.10163,"AP",1,TRUE,"6th",0.691666666666667
"78","1611","4th",1,"2013-07-16","15:44:3.761",18,1,1,33,71,3.951801,"AP",1,TRUE,"6th",0.691666666666667
"79","1611","4th",1,"2013-07-16","15:44:7.743",19,2,2,28,70,3.930984,"AP",1,TRUE,"6th",0.691666666666667
"80","1611","4th",1,"2013-07-16","15:44:11.709",20,2,2,34,20,4.700782,"AP",1,TRUE,"3rd",0.691666666666667
"81","1611","4th",1,"2013-07-16","15:44:16.441",21,1,1,27,51,5.86716,"AP",1,TRUE,"5th",0.691666666666667
"82","1611","4th",1,"2013-07-16","15:44:22.328",22,2,2,26,14,3.883815,"AP",1,TRUE,"3rd",0.691666666666667
"83","1611","4th",1,"2013-07-16","15:44:26.248",23,2,2,29,66,3.850515,"AP",1,TRUE,"6th",0.691666666666667
"84","1611","4th",1,"2013-07-16","15:44:30.137",24,2,1,32,49,4.913365,"AP",1,FALSE,"5th",0.691666666666667
"85","1611","4th",1,"2013-07-16","15:44:35.087",25,2,2,30,58,3.914708,"AP",1,TRUE,"6th",0.691666666666667
"86","1611","4th",1,"2013-07-16","15:44:39.022",26,2,2,39,62,3.980319,"AP",1,TRUE,"6th",0.691666666666667
"87","1611","4th",1,"2013-07-16","15:44:43.036",27,1,2,27,18,3.934888,"AP",1,FALSE,"3rd",0.691666666666667
"88","1611","4th",1,"2013-07-16","15:44:47.002",28,1,1,29,5,3.983513,"AP",1,TRUE,"3rd",0.691666666666667
"89","1611","4th",1,"2013-07-16","15:44:51.015",29,2,2,26,15,4.235562,"AP",1,TRUE,"3rd",0.691666666666667
"90","1611","4th",1,"2013-07-16","15:44:55.279",30,2,2,34,1,4.133764,"AP",1,TRUE,"3rd",0.691666666666667
"91","1611","4th",2,"2013-07-16","15:45:27.495",1,2,1,30,63,4.19129,"AP",1,FALSE,"6th",0.691666666666667
"92","1611","4th",2,"2013-07-16","15:45:31.743",2,2,1,36,64,5.047184,"AP",1,FALSE,"6th",0.691666666666667
"93","1611","4th",2,"2013-07-16","15:45:36.833",3,2,2,23,46,4.127025,"AP",1,TRUE,"5th",0.691666666666667
"94","1611","4th",2,"2013-07-16","15:45:41.003",4,2,2,38,15,3.891323,"AP",1,TRUE,"3rd",0.691666666666667
"95","1611","4th",2,"2013-07-16","15:45:44.923",5,1,2,27,19,3.850626,"AP",1,FALSE,"3rd",0.691666666666667
"96","1611","4th",2,"2013-07-16","15:45:48.811",6,2,2,35,50,3.71621,"AP",1,TRUE,"5th",0.691666666666667
"97","1611","4th",2,"2013-07-16","15:45:52.543",7,2,2,28,15,3.900738,"AP",1,TRUE,"3rd",0.691666666666667
"98","1611","4th",2,"2013-07-16","15:45:56.479",8,2,2,26,11,4.234328,"AP",1,TRUE,"3rd",0.691666666666667
"99","1611","4th",2,"2013-07-16","15:46:0.742",9,2,2,31,61,3.91633,"AP",1,TRUE,"6th",0.691666666666667
"100","1611","4th",2,"2013-07-16","15:46:4.693",10,1,1,27,68,4.151372,"AP",1,TRUE,"6th",0.691666666666667
"101","1611","4th",2,"2013-07-16","15:46:8.878",11,2,1,30,66,4.584125,"AP",1,FALSE,"6th",0.691666666666667
