,sid,regimen,day,standard_label,pretest,experience,correct,total,meanpre
0,1611,AP,1,3rd,0.691666666667,7.0,54.0,80,0.691666666667
1,1611,AP,1,5th,0.691666666667,7.0,53.0,80,0.691666666667
2,1611,AP,1,6th,0.691666666667,7.0,59.0,80,0.691666666667
12,1612,AP,1,3rd,0.733333333333,8.0,63.0,80,0.733333333333
13,1612,AP,1,5th,0.733333333333,8.0,57.0,80,0.733333333333
14,1612,AP,1,6th,0.733333333333,8.0,60.0,80,0.733333333333
24,1613,AP,1,3rd,0.591666666667,6.0,57.0,80,0.591666666667
25,1613,AP,1,5th,0.591666666667,6.0,58.0,80,0.591666666667
26,1613,AP,1,6th,0.591666666667,6.0,60.0,80,0.591666666667
36,1614,AP,1,3rd,0.741666666667,5.0,61.0,80,0.741666666667
37,1614,AP,1,5th,0.741666666667,5.0,53.0,80,0.741666666667
38,1614,AP,1,6th,0.741666666667,5.0,72.0,80,0.741666666667
48,1615,SA,1,3rd,0.516666666667,0.0,39.0,80,0.516666666667
49,1615,SA,1,5th,0.516666666667,0.0,44.0,80,0.516666666667
50,1615,SA,1,6th,0.516666666667,0.0,60.0,80,0.516666666667
60,1616,SA,1,3rd,0.575,1.0,53.0,80,0.575
61,1616,SA,1,5th,0.575,1.0,40.0,80,0.575
62,1616,SA,1,6th,0.575,1.0,45.0,80,0.575
72,1617,SA,1,3rd,0.575,7.0,44.0,80,0.575
73,1617,SA,1,5th,0.575,7.0,48.0,80,0.575
74,1617,SA,1,6th,0.575,7.0,60.0,80,0.575
84,1618,P,1,3rd,0.594444444444,0.0,24.0,40,0.594444444444
85,1618,P,1,5th,0.594444444444,0.0,24.0,40,0.594444444444
86,1618,P,1,6th,0.594444444444,0.0,26.0,40,0.594444444444
90,1619,P,1,3rd,0.666666666667,2.0,22.0,40,0.666666666667
91,1619,P,1,5th,0.666666666667,2.0,26.0,40,0.666666666667
92,1619,P,1,6th,0.666666666667,2.0,36.0,40,0.666666666667
96,1620,P,1,3rd,0.533333333333,6.0,25.0,40,0.533333333333
97,1620,P,1,5th,0.533333333333,6.0,17.0,40,0.533333333333
98,1620,P,1,6th,0.533333333333,6.0,23.0,40,0.533333333333
102,1621,LA,1,3rd,0.55,15.0,101.0,140,0.55
103,1621,LA,1,5th,0.55,15.0,70.0,140,0.55
104,1621,LA,1,6th,0.55,15.0,86.0,140,0.55
114,1622,SA,1,3rd,0.675,3.0,46.0,80,0.675
115,1622,SA,1,5th,0.675,3.0,56.0,80,0.675
116,1622,SA,1,6th,0.675,3.0,69.0,80,0.675
126,1625,AP,1,3rd,0.516666666667,0.0,46.0,80,0.516666666667
127,1625,AP,1,5th,0.516666666667,0.0,44.0,80,0.516666666667
128,1625,AP,1,6th,0.516666666667,0.0,39.0,80,0.516666666667
138,1627,AP,1,3rd,0.6,4.0,45.0,80,0.6
139,1627,AP,1,5th,0.6,4.0,46.0,80,0.6
140,1627,AP,1,6th,0.6,4.0,54.0,80,0.6
150,1641,AP,1,3rd,0.533333333333,0.0,33.0,60,0.533333333333
151,1641,AP,1,5th,0.533333333333,0.0,35.0,60,0.533333333333
152,1641,AP,1,6th,0.533333333333,0.0,33.0,60,0.533333333333
162,1652,LA,1,3rd,0.508333333333,3.0,76.0,140,0.508333333333
163,1652,LA,1,5th,0.508333333333,3.0,64.0,140,0.508333333333
164,1652,LA,1,6th,0.508333333333,3.0,75.0,140,0.508333333333
174,1653,SA,1,3rd,0.575,4.0,46.0,80,0.575
175,1653,SA,1,5th,0.575,4.0,42.0,80,0.575
176,1653,SA,1,6th,0.575,4.0,58.0,80,0.575
186,1658,SA,1,3rd,0.741666666667,8.0,62.0,80,0.741666666667
187,1658,SA,1,5th,0.741666666667,8.0,56.0,80,0.741666666667
188,1658,SA,1,6th,0.741666666667,8.0,71.0,80,0.741666666667
198,1665,P,1,3rd,0.588888888889,3.0,28.0,40,0.588888888889
199,1665,P,1,5th,0.588888888889,3.0,24.0,40,0.588888888889
200,1665,P,1,6th,0.588888888889,3.0,23.0,40,0.588888888889
204,1666,P,1,3rd,0.555555555556,8.0,20.0,40,0.555555555556
205,1666,P,1,5th,0.555555555556,8.0,20.0,40,0.555555555556
206,1666,P,1,6th,0.555555555556,8.0,28.0,40,0.555555555556
210,1670,P,1,3rd,0.622222222222,3.0,25.0,40,0.622222222222
211,1670,P,1,5th,0.622222222222,3.0,22.0,40,0.622222222222
212,1670,P,1,6th,0.622222222222,3.0,34.0,40,0.622222222222
216,1671,P,1,3rd,0.622222222222,3.0,26.0,40,0.622222222222
217,1671,P,1,5th,0.622222222222,3.0,25.0,40,0.622222222222
218,1671,P,1,6th,0.622222222222,3.0,29.0,40,0.622222222222
222,1672,LA,1,3rd,0.766666666667,4.0,112.0,140,0.766666666667
223,1672,LA,1,5th,0.766666666667,4.0,123.0,140,0.766666666667
224,1672,LA,1,6th,0.766666666667,4.0,131.0,140,0.766666666667
234,1674,LA,1,3rd,0.483333333333,0.0,68.0,140,0.483333333333
235,1674,LA,1,5th,0.483333333333,0.0,71.0,140,0.483333333333
236,1674,LA,1,6th,0.483333333333,0.0,72.0,140,0.483333333333
246,1684,LA,1,3rd,0.6,4.0,76.0,120,0.6
247,1684,LA,1,5th,0.6,4.0,51.0,120,0.6
248,1684,LA,1,6th,0.6,4.0,102.0,120,0.6
258,1790,LA,1,3rd,0.525,0.0,73.0,140,0.525
259,1790,LA,1,5th,0.525,0.0,71.0,140,0.525
260,1790,LA,1,6th,0.525,0.0,82.0,140,0.525
270,1794,LA,1,3rd,0.533333333333,2.0,73.0,140,0.533333333333
271,1794,LA,1,5th,0.533333333333,2.0,80.0,140,0.533333333333
272,1794,LA,1,6th,0.533333333333,2.0,95.0,140,0.533333333333
282,1804,SA,1,3rd,0.55,1.0,49.0,80,0.55
283,1804,SA,1,5th,0.55,1.0,46.0,80,0.55
284,1804,SA,1,6th,0.55,1.0,48.0,80,0.55
