,regimen,day,sid,meanpre,sum,len,mean
0,AP,1,1611,0.691666666667,42.0,60,0.7
1,AP,1,1612,0.733333333333,45.3333333333,60,0.755555555556
2,AP,1,1613,0.591666666667,46.3333333333,60,0.772222222222
3,AP,1,1614,0.741666666667,48.3333333333,60,0.805555555556
4,AP,1,1625,0.516666666667,33.0,60,0.55
5,AP,1,1627,0.6,36.6666666667,60,0.611111111111
6,AP,1,1641,0.533333333333,33.6666666667,60,0.561111111111
7,AP,2,1611,0.691666666667,44.3333333333,60,0.738888888889
8,AP,2,1612,0.733333333333,54.3333333333,60,0.905555555556
9,AP,2,1613,0.591666666667,56.3333333333,60,0.938888888889
10,AP,2,1614,0.741666666667,55.0,60,0.916666666667
11,AP,2,1625,0.516666666667,39.6666666667,60,0.661111111111
12,AP,2,1627,0.6,39.6666666667,60,0.661111111111
13,AP,2,1641,0.533333333333,42.6666666667,60,0.711111111111
14,AP,3,1611,0.691666666667,48.3333333333,60,0.805555555556
15,AP,3,1612,0.733333333333,53.0,60,0.883333333333
16,AP,3,1613,0.591666666667,58.0,60,0.966666666667
17,AP,3,1614,0.741666666667,57.3333333333,60,0.955555555556
18,AP,3,1625,0.516666666667,45.6666666667,60,0.761111111111
19,AP,3,1627,0.6,42.6666666667,60,0.711111111111
20,AP,3,1641,0.533333333333,45.6666666667,60,0.761111111111
21,AP,4,1611,0.691666666667,33.3333333333,40,0.833333333333
22,AP,4,1612,0.733333333333,36.6666666667,40,0.916666666667
23,AP,4,1613,0.591666666667,39.3333333333,40,0.983333333333
24,AP,4,1614,0.741666666667,39.3333333333,40,0.983333333333
25,AP,4,1625,0.516666666667,33.0,40,0.825
26,AP,4,1627,0.6,31.3333333333,40,0.783333333333
27,AP,4,1641,0.533333333333,31.0,40,0.775
28,LA,1,1621,0.55,75.3333333333,120,0.627777777778
29,LA,1,1652,0.508333333333,61.6666666667,120,0.513888888889
30,LA,1,1672,0.766666666667,108.333333333,120,0.902777777778
31,LA,1,1674,0.483333333333,58.0,120,0.483333333333
32,LA,1,1684,0.6,76.3333333333,120,0.636111111111
33,LA,1,1790,0.525,63.3333333333,120,0.527777777778
34,LA,1,1794,0.533333333333,72.6666666667,120,0.605555555556
35,LA,2,1621,0.55,77.0,120,0.641666666667
36,LA,2,1652,0.508333333333,64.6666666667,120,0.538888888889
37,LA,2,1672,0.766666666667,108.333333333,120,0.902777777778
38,LA,2,1674,0.483333333333,60.0,120,0.5
39,LA,2,1684,0.6,99.3333333333,120,0.827777777778
40,LA,2,1790,0.525,63.3333333333,120,0.527777777778
41,LA,2,1794,0.533333333333,69.3333333333,120,0.577777777778
42,LA,3,1621,0.55,67.3333333333,120,0.561111111111
43,LA,3,1652,0.508333333333,59.0,120,0.491666666667
44,LA,3,1672,0.766666666667,112.666666667,120,0.938888888889
45,LA,3,1674,0.483333333333,54.3333333333,120,0.452777777778
46,LA,3,1684,0.6,104.333333333,120,0.869444444444
47,LA,3,1790,0.525,58.3333333333,120,0.486111111111
48,LA,3,1794,0.533333333333,83.3333333333,120,0.694444444444
49,LA,4,1621,0.55,26.3333333333,40,0.658333333333
50,LA,4,1652,0.508333333333,21.6666666667,40,0.541666666667
51,LA,4,1672,0.766666666667,38.0,40,0.95
52,LA,4,1674,0.483333333333,19.6666666667,40,0.491666666667
53,LA,4,1684,0.6,35.3333333333,40,0.883333333333
54,LA,4,1790,0.525,25.0,40,0.625
55,LA,4,1794,0.533333333333,32.0,40,0.8
56,P,1,1618,0.594444444444,14.0,20,0.7
57,P,1,1619,0.666666666667,14.6666666667,20,0.733333333333
58,P,1,1620,0.533333333333,10.0,20,0.5
59,P,1,1665,0.588888888889,12.6666666667,20,0.633333333333
60,P,1,1666,0.555555555556,11.3333333333,20,0.566666666667
61,P,1,1670,0.622222222222,13.3333333333,20,0.666666666667
62,P,1,1671,0.622222222222,15.0,20,0.75
63,P,4,1618,0.594444444444,20.3333333333,40,0.508333333333
64,P,4,1619,0.666666666667,27.0,40,0.675
65,P,4,1620,0.533333333333,30.0,40,0.75
66,P,4,1665,0.588888888889,34.0,40,0.85
67,P,4,1666,0.555555555556,25.0,40,0.625
68,P,4,1670,0.622222222222,31.6666666667,40,0.791666666667
69,P,4,1671,0.622222222222,33.0,40,0.825
70,SA,1,1615,0.516666666667,36.3333333333,60,0.605555555556
71,SA,1,1616,0.575,34.3333333333,60,0.572222222222
72,SA,1,1617,0.575,39.0,60,0.65
73,SA,1,1622,0.675,45.6666666667,60,0.761111111111
74,SA,1,1653,0.575,37.3333333333,60,0.622222222222
75,SA,1,1658,0.741666666667,48.0,60,0.8
76,SA,1,1804,0.55,40.3333333333,60,0.672222222222
77,SA,2,1615,0.516666666667,33.0,60,0.55
78,SA,2,1616,0.575,29.6666666667,60,0.494444444444
79,SA,2,1617,0.575,39.0,60,0.65
80,SA,2,1622,0.675,49.0,60,0.816666666667
81,SA,2,1653,0.575,44.3333333333,60,0.738888888889
82,SA,2,1658,0.741666666667,47.6666666667,60,0.794444444444
83,SA,2,1804,0.55,41.0,60,0.683333333333
84,SA,3,1615,0.516666666667,37.0,60,0.616666666667
85,SA,3,1616,0.575,38.0,60,0.633333333333
86,SA,3,1617,0.575,40.0,60,0.666666666667
87,SA,3,1622,0.675,51.0,60,0.85
88,SA,3,1653,0.575,40.6666666667,60,0.677777777778
89,SA,3,1658,0.741666666667,51.6666666667,60,0.861111111111
90,SA,3,1804,0.55,37.6666666667,60,0.627777777778
91,SA,4,1615,0.516666666667,25.0,40,0.625
92,SA,4,1616,0.575,22.3333333333,40,0.558333333333
93,SA,4,1617,0.575,25.6666666667,40,0.641666666667
94,SA,4,1622,0.675,36.0,40,0.9
95,SA,4,1653,0.575,31.3333333333,40,0.783333333333
96,SA,4,1658,0.741666666667,34.3333333333,40,0.858333333333
97,SA,4,1804,0.55,27.0,40,0.675
