,sid,regimen,day,foil_label,pretest,experience,correct,total,meanpre
0,1611,AP,1,3rd,0.691666666666667,7.0,54.0,80,0.691666666666667
1,1611,AP,1,5th,0.691666666666667,7.0,53.0,80,0.691666666666667
2,1611,AP,1,6th,0.691666666666667,7.0,59.0,80,0.691666666666667
12,1612,AP,1,3rd,0.733333333333333,8.0,63.0,80,0.7333333333333328
13,1612,AP,1,5th,0.733333333333333,8.0,57.0,80,0.7333333333333328
14,1612,AP,1,6th,0.733333333333333,8.0,60.0,80,0.7333333333333328
24,1613,AP,1,3rd,0.591666666666667,6.0,57.0,80,0.5916666666666669
25,1613,AP,1,5th,0.591666666666667,6.0,58.0,80,0.5916666666666669
26,1613,AP,1,6th,0.591666666666667,6.0,60.0,80,0.5916666666666669
36,1614,AP,1,3rd,0.741666666666667,5.0,61.0,80,0.741666666666667
37,1614,AP,1,5th,0.741666666666667,5.0,53.0,80,0.741666666666667
38,1614,AP,1,6th,0.741666666666667,5.0,72.0,80,0.741666666666667
48,1615,SA,1,3rd,0.516666666666667,0.0,39.0,80,0.5166666666666672
49,1615,SA,1,5th,0.516666666666667,0.0,44.0,80,0.5166666666666672
50,1615,SA,1,6th,0.516666666666667,0.0,60.0,80,0.5166666666666672
60,1616,SA,1,3rd,0.575,1.0,53.0,80,0.5750000000000001
61,1616,SA,1,5th,0.575,1.0,40.0,80,0.5750000000000001
62,1616,SA,1,6th,0.575,1.0,45.0,80,0.5750000000000001
72,1617,SA,1,3rd,0.575,7.0,44.0,80,0.5750000000000001
73,1617,SA,1,5th,0.575,7.0,48.0,80,0.5750000000000001
74,1617,SA,1,6th,0.575,7.0,60.0,80,0.5750000000000001
84,1618,P,1,3rd,0.594444444444444,0.0,24.0,40,0.594444444444444
85,1618,P,1,5th,0.594444444444444,0.0,24.0,40,0.594444444444444
86,1618,P,1,6th,0.594444444444444,0.0,26.0,40,0.594444444444444
90,1619,P,1,3rd,0.666666666666667,2.0,22.0,40,0.666666666666667
91,1619,P,1,5th,0.666666666666667,2.0,26.0,40,0.666666666666667
92,1619,P,1,6th,0.666666666666667,2.0,36.0,40,0.666666666666667
96,1620,P,1,3rd,0.5333333333333329,6.0,25.0,40,0.5333333333333329
97,1620,P,1,5th,0.5333333333333329,6.0,17.0,40,0.5333333333333329
98,1620,P,1,6th,0.5333333333333329,6.0,23.0,40,0.5333333333333329
102,1621,LA,1,3rd,0.55,15.0,101.0,140,0.5499999999999999
103,1621,LA,1,5th,0.55,15.0,70.0,140,0.5499999999999999
104,1621,LA,1,6th,0.55,15.0,86.0,140,0.5499999999999999
114,1622,SA,1,3rd,0.675,3.0,46.0,80,0.6749999999999999
115,1622,SA,1,5th,0.675,3.0,56.0,80,0.6749999999999999
116,1622,SA,1,6th,0.675,3.0,69.0,80,0.6749999999999999
126,1625,AP,1,3rd,0.516666666666667,0.0,46.0,80,0.5166666666666672
