,regimen,day,mean,cilower,ciupper
0,AP,1.0,0.690210231537,0.647309807417,0.732277828764
1,AP,1.125,0.701236830409,0.661292817141,0.740129330711
2,AP,1.25,0.712036601135,0.674989926172,0.747838842292
3,AP,1.375,0.722598938806,0.688393428292,0.756004466389
4,AP,1.5,0.732914557374,0.701476534011,0.763786114168
5,AP,1.625,0.742975501266,0.713855410216,0.771659857618
6,AP,1.75,0.752775140063,0.725721848988,0.779341902127
7,AP,1.875,0.762308147458,0.737259468226,0.787316080283
8,AP,2.0,0.77157046604,0.747704270275,0.795184621377
9,AP,2.125,0.780559259642,0.75770636421,0.802773939334
10,AP,2.25,0.789272855166,0.767305596133,0.810788698169
11,AP,2.375,0.797710675854,0.776279560332,0.818722233461
12,AP,2.5,0.805873167941,0.784917013694,0.826898506633
13,AP,2.625,0.813761722601,0.792707384269,0.834656445126
14,AP,2.75,0.821378594925,0.800269767964,0.84227987043
15,AP,2.875,0.828726821556,0.807682880734,0.849981934569
16,AP,3.0,0.835810138397,0.814470796878,0.857410263883
17,AP,3.125,0.842632899621,0.820790014656,0.864473649875
18,AP,3.25,0.849199999016,0.826945684751,0.871428303043
19,AP,3.375,0.855516794494,0.832917287574,0.878356021181
20,AP,3.5,0.861589036413,0.838271944747,0.88499593033
21,AP,3.625,0.867422800193,0.843979291328,0.891019658594
22,AP,3.75,0.873024423546,0.849193477976,0.896979359081
23,AP,3.875,0.878400448511,0.854255189458,0.90271560932
24,AP,4.0,0.883557568373,0.859110191563,0.908327960178
25,LA,1.0,0.618435135525,0.572749954432,0.663550344673
26,LA,1.125,0.622909098416,0.579955254725,0.665486088265
27,LA,1.25,0.62736033403,0.586968256411,0.667777197323
28,LA,1.375,0.631787062017,0.593790774145,0.669874997257
29,LA,1.5,0.636187545507,0.600574110242,0.6718216599
30,LA,1.625,0.640560095525,0.607347467421,0.674155476284
31,LA,1.75,0.644903075133,0.613771983294,0.676702254604
32,LA,1.875,0.649214903254,0.619550571716,0.679152631425
33,LA,2.0,0.653494058154,0.625127014926,0.681934910471
34,LA,2.125,0.657739080561,0.630349955868,0.685288504362
35,LA,2.25,0.66194857641,0.635629604971,0.688770807675
36,LA,2.375,0.666121219192,0.640021002523,0.692153059651
37,LA,2.5,0.670255751909,0.644388595265,0.695750228819
38,LA,2.625,0.674350988635,0.648328682634,0.699777800694
39,LA,2.75,0.67840581569,0.651442821192,0.704419677543
40,LA,2.875,0.682419192421,0.654535585724,0.709390536118
41,LA,3.0,0.686390151625,0.657749147627,0.71435478504
42,LA,3.125,0.690317799618,0.660370620263,0.719200485041
43,LA,3.25,0.694201315966,0.663290736238,0.724557140156
44,LA,3.375,0.698039952913,0.665958987548,0.729689464163
45,LA,3.5,0.701833034515,0.668208917621,0.735110785568
46,LA,3.625,0.705579955515,0.670149253205,0.740540140758
47,LA,3.75,0.709280179979,0.672012869981,0.74575312633
48,LA,3.875,0.712933239722,0.673970568417,0.751206185775
49,LA,4.0,0.716538732544,0.675873154484,0.756719356876
50,P,1.0,0.641447520212,0.590123897683,0.695245282177
51,P,1.125,0.64477533337,0.595740572414,0.695752044398
52,P,1.25,0.648082801289,0.600830883914,0.697008304745
53,P,1.375,0.651368810066,0.606159803767,0.698093316726
54,P,1.5,0.65463227923,0.611305201995,0.699797792926
55,P,1.625,0.657872163876,0.615678444168,0.70115919995
56,P,1.75,0.661087456606,0.620484736844,0.702763516149
57,P,1.875,0.66427718929,0.624453178537,0.704302551706
58,P,2.0,0.667440434615,0.628543212857,0.706106584054
59,P,2.125,0.670576307449,0.632769514627,0.707993181995
60,P,2.25,0.673683965985,0.636546914899,0.710164674843
61,P,2.375,0.676762612692,0.640433314384,0.713004924111
62,P,2.5,0.67981149506,0.643874260588,0.715669819696
63,P,2.625,0.68282990614,0.646672095702,0.71838217317
64,P,2.75,0.685817184898,0.649503489207,0.721739940226
65,P,2.875,0.68877271638,0.652247507574,0.725296519791
66,P,3.0,0.691695931688,0.654404731486,0.728748767473
67,P,3.125,0.694586307794,0.656581324263,0.732700655938
68,P,3.25,0.697443367192,0.658455098029,0.736603080612
69,P,3.375,0.700266677394,0.66031945481,0.740643049185
70,P,3.5,0.703055850285,0.661374637756,0.744704870538
71,P,3.625,0.705810541359,0.66281876793,0.748722128839
72,P,3.75,0.708530448829,0.663923901169,0.753179934894
73,P,3.875,0.711215312635,0.664759178691,0.757706480378
74,P,4.0,0.71386491336,0.665525627608,0.762243548934
75,SA,1.0,0.653715710945,0.610253782395,0.697934838818
76,SA,1.125,0.656698454622,0.615424983218,0.698315723283
77,SA,1.25,0.6596622492,0.620628562698,0.698718482118
78,SA,1.375,0.662606257807,0.625736249286,0.699529788513
79,SA,1.5,0.665529670296,0.630659042708,0.700888662413
80,SA,1.625,0.668431704605,0.635527329639,0.701891465056
81,SA,1.75,0.671311607993,0.640446415851,0.702361655521
82,SA,1.875,0.674168658152,0.644947558095,0.703484981969
83,SA,2.0,0.677002164179,0.649338393381,0.704713635842
84,SA,2.125,0.679811467419,0.653150668484,0.70653402702
85,SA,2.25,0.68259594217,0.656752797537,0.708564713864
86,SA,2.375,0.685354996255,0.659935051901,0.710843136082
87,SA,2.5,0.688088071456,0.662683514896,0.713229374592
88,SA,2.625,0.690794643822,0.665556665992,0.715815710714
89,SA,2.75,0.693474223841,0.668151270417,0.718705394233
