,regimen,sid,day,mcorrect
0,AP,1611,1,0.689300411523
1,AP,1611,2,0.734972677596
2,AP,1611,3,0.800546448087
3,AP,1611,4,0.825203252033
4,AP,1612,1,0.746913580247
5,AP,1612,2,0.898907103825
6,AP,1612,3,0.877049180328
7,AP,1612,4,0.906504065041
8,AP,1613,1,0.72633744856
9,AP,1613,2,0.931693989071
10,AP,1613,3,0.959016393443
11,AP,1613,4,0.971544715447
12,AP,1614,1,0.771604938272
13,AP,1614,2,0.909836065574
14,AP,1614,3,0.948087431694
15,AP,1614,4,0.971544715447
16,AP,1625,1,0.537037037037
17,AP,1625,2,0.658469945355
18,AP,1625,3,0.756830601093
19,AP,1625,4,0.817073170732
20,AP,1627,1,0.602880658436
21,AP,1627,2,0.658469945355
22,AP,1627,3,0.707650273224
23,AP,1627,4,0.776422764228
24,AP,1641,1,0.560109289617
25,AP,1641,2,0.707650273224
26,AP,1641,3,0.756830601093
27,AP,1641,4,0.768292682927
28,LA,1621,1,0.611111111111
29,LA,1621,2,0.640495867769
30,LA,1621,3,0.560606060606
31,LA,1621,4,0.654471544715
32,LA,1652,1,0.511820330969
33,LA,1652,2,0.538567493113
34,LA,1652,3,0.49173553719
35,LA,1652,4,0.540650406504
36,LA,1672,1,0.868794326241
37,LA,1672,2,0.899449035813
38,LA,1672,3,0.935261707989
39,LA,1672,4,0.939024390244
40,LA,1674,1,0.502364066194
41,LA,1674,2,0.5
42,LA,1674,3,0.453168044077
43,LA,1674,4,0.491869918699
44,LA,1684,1,0.634986225895
45,LA,1684,2,0.825068870523
46,LA,1684,3,0.866391184573
47,LA,1684,4,0.873983739837
48,LA,1790,1,0.537825059102
49,LA,1790,2,0.527548209366
50,LA,1790,3,0.486225895317
51,LA,1790,4,0.621951219512
52,LA,1794,1,0.589834515366
53,LA,1794,2,0.577134986226
54,LA,1794,3,0.692837465565
55,LA,1794,4,0.792682926829
56,P,1618,1,0.613821138211
57,P,1618,4,0.508130081301
58,P,1619,1,0.69512195122
59,P,1619,4,0.670731707317
60,P,1620,1,0.540650406504
61,P,1620,4,0.743902439024
62,P,1665,1,0.621951219512
63,P,1665,4,0.841463414634
64,P,1666,1,0.565040650407
65,P,1666,4,0.621951219512
66,P,1670,1,0.670731707317
67,P,1670,4,0.784552845528
68,P,1671,1,0.662601626016
69,P,1671,4,0.817073170732
70,SA,1615,1,0.594650205761
71,SA,1615,2,0.549180327869
72,SA,1615,3,0.614754098361
73,SA,1615,4,0.621951219512
74,SA,1616,1,0.574074074074
75,SA,1616,2,0.494535519126
76,SA,1616,3,0.631147540984
77,SA,1616,4,0.556910569106
78,SA,1617,1,0.631687242798
79,SA,1617,2,0.647540983607
80,SA,1617,3,0.66393442623
81,SA,1617,4,0.638211382114
82,SA,1622,1,0.70987654321
83,SA,1622,2,0.811475409836
84,SA,1622,3,0.844262295082
85,SA,1622,4,0.890243902439
86,SA,1653,1,0.606995884774
87,SA,1653,2,0.734972677596
88,SA,1653,3,0.674863387978
89,SA,1653,4,0.776422764228
90,SA,1658,1,0.783950617284
91,SA,1658,2,0.789617486339
92,SA,1658,3,0.855191256831
93,SA,1658,4,0.849593495935
94,SA,1804,1,0.594650205761
95,SA,1804,2,0.680327868852
96,SA,1804,3,0.625683060109
97,SA,1804,4,0.670731707317
