,regimen,sid,day,mean,SE,error,lower,upper,p_value,imp,p_imp
0,AP,1611,1.0,0.67,0.023,0.0,0.645,0.692,0.0,17.777,0.0
1,AP,1611,1.0612244898,0.675,0.023,0.0,0.652,0.697,0.0,17.777,0.0
2,AP,1611,1.12244897959,0.68,0.022,0.0,0.656,0.701,0.0,17.777,0.0
3,AP,1611,1.18367346939,0.684,0.021,0.0,0.666,0.709,0.0,17.777,0.0
4,AP,1611,1.24489795918,0.689,0.021,0.0,0.672,0.714,0.0,17.777,0.0
5,AP,1611,1.30612244898,0.694,0.021,0.0,0.675,0.716,0.0,17.777,0.0
6,AP,1611,1.36734693878,0.698,0.02,0.0,0.677,0.717,0.0,17.777,0.0
7,AP,1611,1.42857142857,0.703,0.02,0.0,0.682,0.721,0.0,17.777,0.0
8,AP,1611,1.48979591837,0.707,0.019,0.0,0.687,0.726,0.0,17.777,0.0
9,AP,1611,1.55102040816,0.712,0.019,0.0,0.693,0.731,0.0,17.777,0.0
10,AP,1611,1.61224489796,0.716,0.019,0.0,0.7,0.737,0.0,17.777,0.0
11,AP,1611,1.67346938776,0.721,0.019,0.0,0.703,0.741,0.0,17.777,0.0
12,AP,1611,1.73469387755,0.725,0.018,0.0,0.707,0.744,0.0,17.777,0.0
13,AP,1611,1.79591836735,0.729,0.018,0.0,0.71,0.747,0.0,17.777,0.0
14,AP,1611,1.85714285714,0.733,0.018,0.0,0.716,0.753,0.0,17.777,0.0
15,AP,1611,1.91836734694,0.738,0.018,0.0,0.72,0.756,0.0,17.777,0.0
16,AP,1611,1.97959183673,0.742,0.018,0.0,0.725,0.761,0.0,17.777,0.0
17,AP,1611,2.04081632653,0.746,0.018,0.0,0.728,0.764,0.0,17.777,0.0
18,AP,1611,2.10204081633,0.75,0.018,0.0,0.731,0.767,0.0,17.777,0.0
19,AP,1611,2.16326530612,0.754,0.018,0.0,0.736,0.773,0.0,17.777,0.0
20,AP,1611,2.22448979592,0.757,0.018,0.0,0.738,0.775,0.0,17.777,0.0
21,AP,1611,2.28571428571,0.761,0.018,0.0,0.743,0.779,0.0,17.777,0.0
22,AP,1611,2.34693877551,0.765,0.018,0.0,0.747,0.784,0.0,17.777,0.0
23,AP,1611,2.40816326531,0.769,0.019,0.0,0.75,0.787,0.0,17.777,0.0
24,AP,1611,2.4693877551,0.772,0.019,0.0,0.754,0.791,0.0,17.777,0.0
25,AP,1611,2.5306122449,0.776,0.019,0.0,0.757,0.794,0.0,17.777,0.0
26,AP,1611,2.59183673469,0.78,0.019,0.0,0.761,0.799,0.0,17.777,0.0
27,AP,1611,2.65306122449,0.783,0.019,0.0,0.763,0.802,0.0,17.777,0.0
28,AP,1611,2.71428571429,0.787,0.019,0.0,0.767,0.806,0.0,17.777,0.0
29,AP,1611,2.77551020408,0.79,0.02,0.0,0.771,0.809,0.0,17.777,0.0
30,AP,1611,2.83673469388,0.793,0.02,0.0,0.774,0.813,0.0,17.777,0.0
31,AP,1611,2.89795918367,0.797,0.02,0.0,0.776,0.816,0.0,17.777,0.0
32,AP,1611,2.95918367347,0.8,0.02,0.0,0.779,0.819,0.0,17.777,0.0
33,AP,1611,3.02040816327,0.803,0.02,0.0,0.782,0.822,0.0,17.777,0.0
34,AP,1611,3.08163265306,0.806,0.021,0.0,0.785,0.826,0.0,17.777,0.0
35,AP,1611,3.14285714286,0.809,0.021,0.0,0.789,0.83,0.0,17.777,0.0
36,AP,1611,3.20408163265,0.812,0.021,0.0,0.792,0.833,0.0,17.777,0.0
37,AP,1611,3.26530612245,0.815,0.021,0.0,0.795,0.837,0.0,17.777,0.0
38,AP,1611,3.32653061224,0.818,0.021,0.0,0.798,0.84,0.0,17.777,0.0
39,AP,1611,3.38775510204,0.821,0.022,0.0,0.8,0.843,0.0,17.777,0.0
40,AP,1611,3.44897959184,0.824,0.022,0.0,0.803,0.846,0.0,17.777,0.0
41,AP,1611,3.51020408163,0.827,0.022,0.0,0.805,0.849,0.0,17.777,0.0
42,AP,1611,3.57142857143,0.83,0.022,0.0,0.809,0.853,0.0,17.777,0.0
43,AP,1611,3.63265306122,0.832,0.022,0.0,0.81,0.854,0.0,17.777,0.0
44,AP,1611,3.69387755102,0.835,0.023,0.0,0.816,0.861,0.0,17.777,0.0
45,AP,1611,3.75510204082,0.838,0.023,0.0,0.819,0.864,0.0,17.777,0.0
46,AP,1611,3.81632653061,0.84,0.023,0.0,0.821,0.866,0.0,17.777,0.0
47,AP,1611,3.87755102041,0.843,0.023,0.0,0.823,0.869,0.0,17.777,0.0
48,AP,1611,3.9387755102,0.845,0.023,0.0,0.826,0.872,0.0,17.777,0.0
49,AP,1611,4.0,0.848,0.023,0.0,0.829,0.875,0.0,17.777,0.0
50,AP,1612,1.0,0.739,0.023,0.0,0.717,0.763,0.0,20.177,0.0
51,AP,1612,1.0612244898,0.746,0.022,0.0,0.726,0.77,0.0,20.177,0.0
52,AP,1612,1.12244897959,0.753,0.022,0.0,0.734,0.777,0.0,20.177,0.0
53,AP,1612,1.18367346939,0.76,0.021,0.0,0.742,0.784,0.0,20.177,0.0
54,AP,1612,1.24489795918,0.767,0.02,0.0,0.749,0.789,0.0,20.177,0.0
55,AP,1612,1.30612244898,0.773,0.02,0.0,0.755,0.795,0.0,20.177,0.0
56,AP,1612,1.36734693878,0.78,0.019,0.0,0.762,0.8,0.0,20.177,0.0
57,AP,1612,1.42857142857,0.786,0.019,0.0,0.768,0.806,0.0,20.177,0.0
58,AP,1612,1.48979591837,0.792,0.019,0.0,0.776,0.813,0.0,20.177,0.0
59,AP,1612,1.55102040816,0.798,0.018,0.0,0.782,0.818,0.0,20.177,0.0
60,AP,1612,1.61224489796,0.804,0.018,0.0,0.789,0.824,0.0,20.177,0.0
61,AP,1612,1.67346938776,0.81,0.018,0.0,0.795,0.829,0.0,20.177,0.0
62,AP,1612,1.73469387755,0.815,0.017,0.0,0.8,0.834,0.0,20.177,0.0
63,AP,1612,1.79591836735,0.821,0.017,0.0,0.805,0.839,0.0,20.177,0.0
64,AP,1612,1.85714285714,0.826,0.017,0.0,0.811,0.844,0.0,20.177,0.0
65,AP,1612,1.91836734694,0.831,0.017,0.0,0.814,0.848,0.0,20.177,0.0
66,AP,1612,1.97959183673,0.836,0.017,0.0,0.82,0.854,0.0,20.177,0.0
67,AP,1612,2.04081632653,0.841,0.016,0.0,0.825,0.858,0.0,20.177,0.0
68,AP,1612,2.10204081633,0.846,0.016,0.0,0.831,0.863,0.0,20.177,0.0
69,AP,1612,2.16326530612,0.85,0.016,0.0,0.836,0.868,0.0,20.177,0.0
70,AP,1612,2.22448979592,0.855,0.016,0.0,0.839,0.872,0.0,20.177,0.0
71,AP,1612,2.28571428571,0.859,0.016,0.0,0.844,0.876,0.0,20.177,0.0
72,AP,1612,2.34693877551,0.863,0.016,0.0,0.848,0.88,0.0,20.177,0.0
73,AP,1612,2.40816326531,0.867,0.016,0.0,0.854,0.885,0.0,20.177,0.0
74,AP,1612,2.4693877551,0.871,0.016,0.0,0.858,0.889,0.0,20.177,0.0
75,AP,1612,2.5306122449,0.875,0.016,0.0,0.862,0.893,0.0,20.177,0.0
76,AP,1612,2.59183673469,0.879,0.016,0.0,0.866,0.897,0.0,20.177,0.0
77,AP,1612,2.65306122449,0.883,0.016,0.0,0.869,0.9,0.0,20.177,0.0
78,AP,1612,2.71428571429,0.886,0.016,0.0,0.873,0.904,0.0,20.177,0.0
79,AP,1612,2.77551020408,0.89,0.016,0.0,0.876,0.907,0.0,20.177,0.0
80,AP,1612,2.83673469388,0.893,0.016,0.0,0.88,0.911,0.0,20.177,0.0
81,AP,1612,2.89795918367,0.896,0.015,0.0,0.884,0.915,0.0,20.177,0.0
82,AP,1612,2.95918367347,0.9,0.015,0.0,0.888,0.918,0.0,20.177,0.0
83,AP,1612,3.02040816327,0.903,0.015,0.0,0.89,0.92,0.0,20.177,0.0
84,AP,1612,3.08163265306,0.906,0.015,0.0,0.893,0.923,0.0,20.177,0.0
85,AP,1612,3.14285714286,0.909,0.015,0.0,0.896,0.926,0.0,20.177,0.0
86,AP,1612,3.20408163265,0.911,0.015,0.0,0.899,0.928,0.0,20.177,0.0
87,AP,1612,3.26530612245,0.914,0.015,0.0,0.902,0.931,0.0,20.177,0.0
88,AP,1612,3.32653061224,0.917,0.015,0.0,0.904,0.934,0.0,20.177,0.0
89,AP,1612,3.38775510204,0.919,0.015,0.0,0.907,0.936,0.0,20.177,0.0
90,AP,1612,3.44897959184,0.922,0.015,0.0,0.91,0.939,0.0,20.177,0.0
91,AP,1612,3.51020408163,0.924,0.015,0.0,0.912,0.94,0.0,20.177,0.0
92,AP,1612,3.57142857143,0.927,0.014,0.0,0.915,0.943,0.0,20.177,0.0
93,AP,1612,3.63265306122,0.929,0.014,0.0,0.917,0.945,0.0,20.177,0.0
94,AP,1612,3.69387755102,0.931,0.014,0.0,0.92,0.947,0.0,20.177,0.0
95,AP,1612,3.75510204082,0.933,0.014,0.0,0.922,0.95,0.0,20.177,0.0
96,AP,1612,3.81632653061,0.935,0.014,0.0,0.924,0.951,0.0,20.177,0.0
97,AP,1612,3.87755102041,0.937,0.014,0.0,0.927,0.953,0.0,20.177,0.0
98,AP,1612,3.9387755102,0.939,0.014,0.0,0.929,0.955,0.0,20.177,0.0
99,AP,1612,4.0,0.941,0.014,0.0,0.93,0.957,0.0,20.177,0.0
100,AP,1613,1.0,0.777,0.021,0.0,0.757,0.8,0.0,20.121,0.0
101,AP,1613,1.0612244898,0.786,0.021,0.0,0.767,0.808,0.0,20.121,0.0
102,AP,1613,1.12244897959,0.795,0.02,0.0,0.776,0.815,0.0,20.121,0.0
103,AP,1613,1.18367346939,0.804,0.019,0.0,0.785,0.823,0.0,20.121,0.0
104,AP,1613,1.24489795918,0.813,0.018,0.0,0.794,0.831,0.0,20.121,0.0
105,AP,1613,1.30612244898,0.821,0.018,0.0,0.803,0.838,0.0,20.121,0.0
106,AP,1613,1.36734693878,0.829,0.017,0.0,0.811,0.846,0.0,20.121,0.0
107,AP,1613,1.42857142857,0.836,0.017,0.0,0.818,0.852,0.0,20.121,0.0
108,AP,1613,1.48979591837,0.844,0.016,0.0,0.828,0.861,0.0,20.121,0.0
109,AP,1613,1.55102040816,0.851,0.016,0.0,0.835,0.867,0.0,20.121,0.0
110,AP,1613,1.61224489796,0.857,0.016,0.0,0.842,0.873,0.0,20.121,0.0
111,AP,1613,1.67346938776,0.864,0.015,0.0,0.849,0.88,0.0,20.121,0.0
112,AP,1613,1.73469387755,0.87,0.015,0.0,0.857,0.887,0.0,20.121,0.0
113,AP,1613,1.79591836735,0.876,0.015,0.0,0.86,0.89,0.0,20.121,0.0
114,AP,1613,1.85714285714,0.882,0.015,0.0,0.867,0.896,0.0,20.121,0.0
115,AP,1613,1.91836734694,0.887,0.014,0.0,0.875,0.903,0.0,20.121,0.0
116,AP,1613,1.97959183673,0.892,0.014,0.0,0.879,0.907,0.0,20.121,0.0
117,AP,1613,2.04081632653,0.897,0.014,0.0,0.885,0.912,0.0,20.121,0.0
118,AP,1613,2.10204081633,0.902,0.014,0.0,0.889,0.917,0.0,20.121,0.0
119,AP,1613,2.16326530612,0.907,0.014,0.0,0.894,0.921,0.0,20.121,0.0
120,AP,1613,2.22448979592,0.911,0.013,0.0,0.9,0.926,0.0,20.121,0.0
121,AP,1613,2.28571428571,0.915,0.013,0.0,0.904,0.931,0.0,20.121,0.0
122,AP,1613,2.34693877551,0.919,0.013,0.0,0.908,0.933,0.0,20.121,0.0
123,AP,1613,2.40816326531,0.923,0.013,0.0,0.911,0.937,0.0,20.121,0.0
124,AP,1613,2.4693877551,0.927,0.013,0.0,0.916,0.94,0.0,20.121,0.0
125,AP,1613,2.5306122449,0.93,0.012,0.0,0.919,0.943,0.0,20.121,0.0
126,AP,1613,2.59183673469,0.933,0.012,0.0,0.923,0.946,0.0,20.121,0.0
127,AP,1613,2.65306122449,0.937,0.012,0.0,0.928,0.951,0.0,20.121,0.0
128,AP,1613,2.71428571429,0.94,0.012,0.0,0.931,0.954,0.0,20.121,0.0
129,AP,1613,2.77551020408,0.942,0.011,0.0,0.933,0.956,0.0,20.121,0.0
130,AP,1613,2.83673469388,0.945,0.011,0.0,0.937,0.959,0.0,20.121,0.0
131,AP,1613,2.89795918367,0.948,0.011,0.0,0.939,0.961,0.0,20.121,0.0
132,AP,1613,2.95918367347,0.95,0.011,0.0,0.942,0.963,0.0,20.121,0.0
133,AP,1613,3.02040816327,0.953,0.011,0.0,0.944,0.965,0.0,20.121,0.0
134,AP,1613,3.08163265306,0.955,0.01,0.0,0.948,0.968,0.0,20.121,0.0
135,AP,1613,3.14285714286,0.957,0.01,0.0,0.95,0.97,0.0,20.121,0.0
136,AP,1613,3.20408163265,0.959,0.01,0.0,0.952,0.971,0.0,20.121,0.0
137,AP,1613,3.26530612245,0.961,0.01,0.0,0.954,0.973,0.0,20.121,0.0
138,AP,1613,3.32653061224,0.963,0.009,0.0,0.956,0.975,0.0,20.121,0.0
139,AP,1613,3.38775510204,0.965,0.009,0.0,0.958,0.976,0.0,20.121,0.0
140,AP,1613,3.44897959184,0.966,0.009,0.0,0.96,0.977,0.0,20.121,0.0
