,a,b,x,y,ymax,ymin
0,3rd,5th,0.4,0.4728268785775664,0.585,0.353
1,3rd,5th,0.4122448979591837,0.4796319661092474,0.595,0.368
2,3rd,5th,0.4244897959183674,0.4862080978421893,0.6,0.377
3,3rd,5th,0.43673469387755104,0.49295163983375856,0.603,0.384
4,3rd,5th,0.4489795918367347,0.49923457558709483,0.606,0.392
5,3rd,5th,0.4612244897959184,0.5057203296759661,0.609,0.4
6,3rd,5th,0.47346938775510206,0.5122052598091071,0.614,0.41
7,3rd,5th,0.48571428571428577,0.5187807012157268,0.619,0.419
8,3rd,5th,0.4979591836734694,0.5251256132310471,0.624,0.427
9,3rd,5th,0.5102040816326531,0.5318738934765727,0.63,0.438
10,3rd,5th,0.5224489795918368,0.5380877220091003,0.635,0.445
11,3rd,5th,0.5346938775510204,0.5443236775355542,0.644,0.456
12,3rd,5th,0.5469387755102041,0.5507689826228281,0.649,0.464
13,3rd,5th,0.5591836734693878,0.5571672792832014,0.655,0.473
14,3rd,5th,0.5714285714285714,0.5639199611361222,0.661,0.481
15,3rd,5th,0.5836734693877551,0.5707070508567733,0.669,0.489
16,3rd,5th,0.5959183673469388,0.5773066587423882,0.672,0.493
17,3rd,5th,0.6081632653061224,0.5839301549606792,0.681,0.504
18,3rd,5th,0.6204081632653061,0.5907930904205381,0.688,0.512
19,3rd,5th,0.6326530612244898,0.5973539799385434,0.695,0.522
20,3rd,5th,0.6448979591836734,0.6043115451782632,0.701,0.526
21,3rd,5th,0.6571428571428571,0.6114067701393797,0.701,0.527
22,3rd,5th,0.6693877551020408,0.6182615076095428,0.714,0.539
23,3rd,5th,0.6816326530612244,0.6253511686279138,0.722,0.548
24,3rd,5th,0.6938775510204082,0.6324473964576965,0.728,0.552
25,3rd,5th,0.7061224489795919,0.6395921977290302,0.729,0.552
26,3rd,5th,0.7183673469387755,0.6467387952995514,0.741,0.561
27,3rd,5th,0.7306122448979592,0.6544337904728553,0.749,0.568
28,3rd,5th,0.7428571428571429,0.6622896224013946,0.757,0.574
29,3rd,5th,0.7551020408163265,0.6700963554794935,0.767,0.581
30,3rd,5th,0.7673469387755102,0.6780513284122058,0.779,0.59
31,3rd,5th,0.7795918367346939,0.6861152081871001,0.784,0.591
32,3rd,5th,0.7918367346938775,0.694438827810782,0.796,0.6
33,3rd,5th,0.8040816326530612,0.7029257744804513,0.8,0.6
34,3rd,5th,0.8163265306122449,0.7115453183068601,0.816,0.613
35,3rd,5th,0.8285714285714285,0.721029484564209,0.822,0.615
36,3rd,5th,0.8408163265306122,0.7303839439449737,0.835,0.626
37,3rd,5th,0.8530612244897959,0.7402444693899397,0.847,0.634
38,3rd,5th,0.8653061224489795,0.7503833188299449,0.857,0.64
39,3rd,5th,0.8775510204081632,0.7608662874097607,0.869,0.648
40,3rd,5th,0.889795918367347,0.7720832018988072,0.879,0.654
41,3rd,5th,0.9020408163265307,0.7833199611804389,0.895,0.667
42,3rd,5th,0.9142857142857143,0.7962043646301704,0.908,0.677
43,3rd,5th,0.926530612244898,0.8102565237762569,0.919,0.687
44,3rd,5th,0.9387755102040817,0.8254327532578954,0.936,0.704
45,3rd,5th,0.9510204081632653,0.8427262499616709,0.946,0.716
46,3rd,5th,0.963265306122449,0.863101272898795,0.958,0.732
47,3rd,5th,0.9755102040816327,0.8873233125813555,0.98,0.763
48,3rd,5th,0.9877551020408163,0.919567106009683,0.991,0.795
49,3rd,5th,1.0,1.0,1.0,1.0
0,5th,6th,0.4,0.5106111427706881,0.698,0.273
1,5th,6th,0.4122448979591837,0.5251620041897878,0.715,0.301
2,5th,6th,0.4244897959183674,0.5386768487028504,0.715,0.314
3,5th,6th,0.43673469387755104,0.552827793123223,0.722,0.331
4,5th,6th,0.4489795918367347,0.5666211379865289,0.73,0.353
5,5th,6th,0.4612244897959184,0.580445721563178,0.739,0.371
6,5th,6th,0.47346938775510206,0.5930589666164687,0.746,0.389
7,5th,6th,0.48571428571428577,0.606006706637573,0.751,0.404
8,5th,6th,0.4979591836734694,0.6184376623639212,0.759,0.423
9,5th,6th,0.5102040816326531,0.6313176185495751,0.764,0.438
10,5th,6th,0.5224489795918368,0.6442038063376441,0.772,0.457
11,5th,6th,0.5346938775510204,0.6570090452990484,0.797,0.493
12,5th,6th,0.5469387755102041,0.6691537969470847,0.805,0.513
13,5th,6th,0.5591836734693878,0.6812771377692267,0.811,0.526
14,5th,6th,0.5714285714285714,0.692616851164565,0.82,0.542
15,5th,6th,0.5836734693877551,0.7042132594066002,0.834,0.561
16,5th,6th,0.5959183673469388,0.715304878895791,0.841,0.575
17,5th,6th,0.6081632653061224,0.7268708590786452,0.853,0.592
18,5th,6th,0.6204081632653061,0.7378920932623869,0.861,0.607
19,5th,6th,0.6326530612244898,0.748424477518872,0.866,0.62
20,5th,6th,0.6448979591836734,0.7589778935997066,0.88,0.636
21,5th,6th,0.6571428571428571,0.7698254388050261,0.888,0.65
22,5th,6th,0.6693877551020408,0.7803513157567894,0.887,0.653
23,5th,6th,0.6816326530612244,0.7908301276952161,0.9,0.67
24,5th,6th,0.6938775510204082,0.8010226682010784,0.911,0.683
25,5th,6th,0.7061224489795919,0.810700538643901,0.92,0.694
26,5th,6th,0.7183673469387755,0.8207095443337388,0.932,0.706
27,5th,6th,0.7306122448979592,0.830322924730911,0.927,0.703
28,5th,6th,0.7428571428571429,0.8397111096043606,0.938,0.717
29,5th,6th,0.7551020408163265,0.8493046007045745,0.943,0.724
30,5th,6th,0.7673469387755102,0.8584346552179812,0.956,0.739
31,5th,6th,0.7795918367346939,0.867506997938641,0.958,0.744
32,5th,6th,0.7918367346938775,0.8761713106676841,0.975,0.764
33,5th,6th,0.8040816326530612,0.8850945731135536,0.977,0.772
34,5th,6th,0.8163265306122449,0.893421902612586,0.979,0.779
35,5th,6th,0.8285714285714285,0.9019942435041397,0.987,0.792
36,5th,6th,0.8408163265306122,0.9100948535272231,0.986,0.796
37,5th,6th,0.8530612244897959,0.9185378251294176,0.989,0.806
38,5th,6th,0.8653061224489795,0.9262906188316602,0.992,0.817
39,5th,6th,0.8775510204081632,0.9341636314824737,0.997,0.83
40,5th,6th,0.889795918367347,0.9420950297405466,0.998,0.84
41,5th,6th,0.9020408163265307,0.9494298892841491,0.998,0.85
42,5th,6th,0.9142857142857143,0.9567588591215257,1.0,0.862
43,5th,6th,0.926530612244898,0.9637807702531147,1.0,0.874
44,5th,6th,0.9387755102040817,0.9706384924216032,1.0,0.886
45,5th,6th,0.9510204081632653,0.9771902863744891,1.0,0.899
46,5th,6th,0.963265306122449,0.98357506093782,1.0,0.913
