regimen,sid,experience,day,pretest,correct,total,meanpre
AP,1611,7.0,3,2.075000000000001,166.0,240,2.075000000000001
AP,1612,8.0,3,2.199999999999999,180.0,240,2.1999999999999984
AP,1613,6.0,3,1.775000000000001,175.0,240,1.7750000000000008
AP,1614,5.0,3,2.225000000000001,186.0,240,2.225000000000001
AP,1625,0.0,3,1.5500000000000012,129.0,240,1.5500000000000016
AP,1627,4.0,3,1.7999999999999998,145.0,240,1.7999999999999996
AP,1641,0.0,3,1.5999999999999988,101.0,180,1.599999999999999
LA,1621,15.0,3,1.6500000000000001,257.0,420,1.65
LA,1652,3.0,3,1.5249999999999986,215.0,420,1.5249999999999986
LA,1672,4.0,3,2.300000000000001,366.0,420,2.3000000000000016
LA,1674,0.0,3,1.4499999999999986,211.0,420,1.4499999999999984
LA,1684,4.0,3,1.7999999999999998,229.0,360,1.7999999999999996
LA,1790,0.0,3,1.5750000000000002,226.0,420,1.5750000000000004
LA,1794,2.0,3,1.5999999999999988,248.0,420,1.599999999999999
P,1618,0.0,3,1.7833333333333319,74.0,120,1.7833333333333319
P,1619,2.0,3,2.000000000000001,84.0,120,2.000000000000001
P,1620,6.0,3,1.5999999999999988,65.0,120,1.5999999999999988
P,1665,3.0,3,1.766666666666667,75.0,120,1.766666666666667
P,1666,8.0,3,1.666666666666668,68.0,120,1.6666666666666683
P,1670,3.0,3,1.866666666666666,81.0,120,1.8666666666666658
P,1671,3.0,3,1.866666666666666,80.0,120,1.8666666666666658
SA,1615,0.0,3,1.5500000000000012,143.0,240,1.5500000000000016
SA,1616,1.0,3,1.7249999999999999,138.0,240,1.725
SA,1617,7.0,3,1.7249999999999999,152.0,240,1.725
SA,1622,3.0,3,2.0250000000000004,171.0,240,2.025
SA,1653,4.0,3,1.7249999999999999,146.0,240,1.725
SA,1658,8.0,3,2.225000000000001,189.0,240,2.225000000000001
SA,1804,1.0,3,1.6500000000000001,143.0,240,1.65
