,regimen,sid,condition,meanpre,mean
0,AP,1611,4th,0.6916666666666702,0.8333333333333334
1,AP,1611,4th_gen,0.6916666666666702,0.85
2,AP,1612,4th,0.7333333333333396,0.9166666666666666
3,AP,1612,4th_gen,0.7333333333333396,0.9333333333333335
4,AP,1613,4th,0.5916666666666547,0.9833333333333334
5,AP,1613,4th_gen,0.5916666666666547,0.975
6,AP,1614,4th,0.7416666666666719,0.9833333333333334
7,AP,1614,4th_gen,0.7416666666666719,0.975
8,AP,1625,4th,0.5166666666666642,0.8249999999999998
9,AP,1625,4th_gen,0.5166666666666642,0.8666666666666667
10,AP,1627,4th,0.6000000000000091,0.7833333333333333
11,AP,1627,4th_gen,0.6000000000000091,0.7333333333333334
12,AP,1641,4th,0.5333333333333424,0.775
13,AP,1641,4th_gen,0.5333333333333424,0.775
14,LA,1621,4th,0.5499999999999906,0.6583333333333333
15,LA,1621,4th_gen,0.5499999999999906,0.6499999999999999
16,LA,1652,4th,0.5083333333333264,0.5416666666666666
17,LA,1652,4th_gen,0.5083333333333264,0.48333333333333334
18,LA,1672,4th,0.7666666666666567,0.9499999999999998
19,LA,1672,4th_gen,0.7666666666666567,0.8833333333333333
20,LA,1674,4th,0.4833333333333403,0.4916666666666667
21,LA,1674,4th_gen,0.4833333333333403,0.5416666666666666
22,LA,1684,4th,0.6000000000000141,0.8833333333333333
23,LA,1684,4th_gen,0.6000000000000141,0.8833333333333333
24,LA,1790,4th,0.5249999999999867,0.625
25,LA,1790,4th_gen,0.5249999999999867,0.47500000000000003
26,LA,1794,4th,0.5333333333333327,0.7999999999999999
27,LA,1794,4th_gen,0.5333333333333327,0.8583333333333334
28,P,1618,4th,0.5944444444444372,0.5083333333333333
29,P,1618,4th_gen,0.5944444444444372,0.6416666666666667
30,P,1619,4th,0.6666666666666703,0.6750000000000002
31,P,1619,4th_gen,0.6666666666666703,0.6166666666666666
32,P,1620,4th,0.5333333333333437,0.75
33,P,1620,4th_gen,0.5333333333333437,0.725
34,P,1665,4th,0.5888888888888975,0.85
35,P,1665,4th_gen,0.5888888888888975,0.8333333333333334
36,P,1666,4th,0.5555555555555465,0.625
37,P,1666,4th_gen,0.5555555555555465,0.5666666666666667
38,P,1670,4th,0.6222222222222206,0.7916666666666666
39,P,1670,4th_gen,0.6222222222222206,0.875
40,P,1671,4th,0.6222222222222176,0.8250000000000001
41,P,1671,4th_gen,0.6222222222222176,0.75
42,SA,1615,4th,0.5166666666666642,0.625
43,SA,1615,4th_gen,0.5166666666666642,0.5833333333333334
44,SA,1616,4th,0.5749999999999922,0.5583333333333333
45,SA,1616,4th_gen,0.5749999999999922,0.6
46,SA,1617,4th,0.5749999999999922,0.6416666666666667
47,SA,1617,4th_gen,0.5749999999999922,0.6666666666666666
48,SA,1622,4th,0.6750000000000028,0.9
49,SA,1622,4th_gen,0.6750000000000028,0.9
50,SA,1653,4th,0.5749999999999922,0.7833333333333333
51,SA,1653,4th_gen,0.5749999999999922,0.8333333333333334
52,SA,1658,4th,0.7416666666666719,0.8583333333333334
53,SA,1658,4th_gen,0.7416666666666719,0.8250000000000001
54,SA,1804,4th,0.5500000000000076,0.6749999999999999
55,SA,1804,4th_gen,0.5500000000000076,0.6749999999999999
