,posttest,mean,SE,error,lower,upper,p_value
0,0.4,0.192,0.036,0.001,0.156,0.225,0.0
1,0.412244897959,0.198,0.036,0.001,0.161,0.23,0.0
2,0.424489795918,0.204,0.036,0.001,0.167,0.236,0.0
3,0.436734693878,0.21,0.035,0.001,0.173,0.241,0.0
4,0.448979591837,0.217,0.035,0.001,0.18,0.247,0.0
5,0.461224489796,0.223,0.035,0.001,0.188,0.254,0.0
6,0.473469387755,0.23,0.034,0.001,0.194,0.26,0.0
7,0.485714285714,0.236,0.034,0.001,0.202,0.266,0.0
8,0.497959183673,0.243,0.033,0.001,0.21,0.273,0.0
9,0.510204081633,0.25,0.033,0.001,0.218,0.281,0.0
10,0.522448979592,0.257,0.032,0.001,0.222,0.283,0.0
11,0.534693877551,0.265,0.031,0.0,0.23,0.29,0.0
12,0.54693877551,0.272,0.031,0.0,0.24,0.299,0.0
13,0.559183673469,0.28,0.03,0.0,0.248,0.305,0.0
14,0.571428571429,0.287,0.029,0.0,0.26,0.315,0.0
15,0.583673469388,0.295,0.028,0.0,0.267,0.322,0.0
16,0.595918367347,0.303,0.028,0.0,0.277,0.329,0.0
17,0.608163265306,0.311,0.027,0.0,0.285,0.336,0.0
18,0.620408163265,0.319,0.026,0.0,0.292,0.342,0.0
19,0.632653061224,0.328,0.025,0.0,0.303,0.351,0.0
20,0.644897959184,0.336,0.024,0.0,0.312,0.359,0.0
21,0.657142857143,0.345,0.023,0.0,0.321,0.366,0.0
22,0.669387755102,0.354,0.023,0.0,0.331,0.375,0.0
23,0.681632653061,0.362,0.022,0.0,0.341,0.384,0.0
24,0.69387755102,0.371,0.021,0.0,0.351,0.392,0.0
25,0.70612244898,0.38,0.021,0.0,0.358,0.399,0.0
26,0.718367346939,0.389,0.02,0.0,0.369,0.409,0.0
27,0.730612244898,0.398,0.02,0.0,0.379,0.417,0.0
28,0.742857142857,0.408,0.02,0.0,0.388,0.426,0.0
29,0.755102040816,0.417,0.02,0.0,0.398,0.436,0.0
30,0.767346938776,0.426,0.02,0.0,0.407,0.445,0.0
31,0.779591836735,0.436,0.02,0.0,0.419,0.457,0.0
32,0.791836734694,0.445,0.02,0.0,0.426,0.465,0.0
33,0.804081632653,0.455,0.021,0.0,0.436,0.476,0.0
34,0.816326530612,0.464,0.021,0.0,0.447,0.488,0.0
35,0.828571428571,0.474,0.022,0.0,0.454,0.496,0.0
36,0.840816326531,0.484,0.023,0.0,0.461,0.505,0.0
37,0.85306122449,0.493,0.024,0.0,0.47,0.516,0.0
38,0.865306122449,0.503,0.025,0.0,0.478,0.526,0.0
39,0.877551020408,0.512,0.026,0.0,0.483,0.534,0.0
40,0.889795918367,0.522,0.027,0.0,0.496,0.549,0.0
41,0.902040816327,0.532,0.029,0.0,0.504,0.559,0.0
42,0.914285714286,0.541,0.03,0.0,0.508,0.565,0.0
43,0.926530612245,0.551,0.031,0.0,0.518,0.578,0.0
44,0.938775510204,0.56,0.032,0.001,0.529,0.592,0.0
45,0.951020408163,0.569,0.034,0.001,0.536,0.601,0.0
46,0.963265306122,0.579,0.035,0.001,0.543,0.611,0.0
47,0.975510204082,0.588,0.036,0.001,0.551,0.621,0.0
48,0.987755102041,0.597,0.038,0.001,0.558,0.63,0.0
49,1.0,0.606,0.039,0.001,0.575,0.65,0.0
