,posttest,stimulus_label,mean,SE,error,lower,upper,p_value
0,0.4,3rd,0.129,0.037,0.001,0.087,0.159,0.0
1,0.4,4th,0.184,0.049,0.001,0.129,0.223,0.0
2,0.4,5th,0.317,0.067,0.001,0.237,0.368,0.0
3,0.4,6th,0.142,0.042,0.001,0.096,0.174,0.0
4,0.412244897959,3rd,0.135,0.037,0.001,0.093,0.166,0.0
5,0.412244897959,4th,0.193,0.049,0.001,0.137,0.232,0.0
6,0.412244897959,5th,0.318,0.065,0.001,0.237,0.365,0.0
7,0.412244897959,6th,0.147,0.042,0.001,0.102,0.181,0.0
8,0.424489795918,3rd,0.141,0.037,0.001,0.098,0.171,0.0
9,0.424489795918,4th,0.203,0.05,0.001,0.146,0.242,0.0
10,0.424489795918,5th,0.32,0.063,0.001,0.24,0.364,0.0
11,0.424489795918,6th,0.152,0.042,0.001,0.107,0.186,0.0
12,0.436734693878,3rd,0.146,0.038,0.001,0.104,0.178,0.0
13,0.436734693878,4th,0.213,0.05,0.001,0.158,0.254,0.0
14,0.436734693878,5th,0.321,0.061,0.001,0.243,0.364,0.0
15,0.436734693878,6th,0.157,0.042,0.001,0.111,0.19,0.0
16,0.448979591837,3rd,0.153,0.038,0.001,0.11,0.184,0.0
17,0.448979591837,4th,0.224,0.05,0.001,0.169,0.267,0.0
18,0.448979591837,5th,0.322,0.06,0.001,0.247,0.364,0.0
19,0.448979591837,6th,0.162,0.041,0.001,0.117,0.195,0.0
20,0.461224489796,3rd,0.159,0.038,0.001,0.116,0.191,0.0
21,0.461224489796,4th,0.235,0.05,0.001,0.179,0.277,0.0
22,0.461224489796,5th,0.324,0.058,0.001,0.262,0.375,0.0
23,0.461224489796,6th,0.167,0.041,0.001,0.122,0.2,0.0
24,0.473469387755,3rd,0.165,0.038,0.001,0.123,0.198,0.0
25,0.473469387755,4th,0.246,0.05,0.001,0.196,0.293,0.0
26,0.473469387755,5th,0.325,0.056,0.001,0.266,0.376,0.0
27,0.473469387755,6th,0.173,0.041,0.001,0.127,0.205,0.0
28,0.485714285714,3rd,0.172,0.038,0.001,0.129,0.204,0.0
29,0.485714285714,4th,0.258,0.05,0.001,0.208,0.305,0.0
30,0.485714285714,5th,0.327,0.054,0.001,0.261,0.368,0.0
31,0.485714285714,6th,0.179,0.041,0.001,0.137,0.215,0.0
32,0.497959183673,3rd,0.179,0.038,0.001,0.136,0.211,0.0
33,0.497959183673,4th,0.271,0.049,0.001,0.219,0.316,0.0
34,0.497959183673,5th,0.328,0.052,0.001,0.266,0.37,0.0
35,0.497959183673,6th,0.184,0.04,0.001,0.14,0.217,0.0
36,0.510204081633,3rd,0.187,0.037,0.001,0.141,0.216,0.0
37,0.510204081633,4th,0.283,0.049,0.001,0.235,0.332,0.0
38,0.510204081633,5th,0.33,0.051,0.001,0.267,0.367,0.0
39,0.510204081633,6th,0.19,0.04,0.001,0.144,0.221,0.0
40,0.522448979592,3rd,0.194,0.037,0.001,0.154,0.229,0.0
41,0.522448979592,4th,0.296,0.048,0.001,0.248,0.344,0.0
42,0.522448979592,5th,0.331,0.049,0.001,0.277,0.373,0.0
43,0.522448979592,6th,0.197,0.039,0.001,0.151,0.227,0.0
44,0.534693877551,3rd,0.202,0.037,0.001,0.164,0.238,0.0
45,0.534693877551,4th,0.31,0.048,0.001,0.263,0.359,0.0
46,0.534693877551,5th,0.333,0.047,0.001,0.283,0.377,0.0
47,0.534693877551,6th,0.203,0.039,0.001,0.159,0.235,0.0
48,0.54693877551,3rd,0.21,0.037,0.001,0.173,0.246,0.0
49,0.54693877551,4th,0.324,0.047,0.001,0.275,0.369,0.0
50,0.54693877551,5th,0.334,0.045,0.001,0.283,0.372,0.0
51,0.54693877551,6th,0.209,0.038,0.001,0.166,0.241,0.0
52,0.559183673469,3rd,0.218,0.036,0.001,0.182,0.254,0.0
53,0.559183673469,4th,0.338,0.046,0.001,0.289,0.381,0.0
54,0.559183673469,5th,0.336,0.044,0.001,0.289,0.375,0.0
55,0.559183673469,6th,0.216,0.037,0.001,0.175,0.248,0.0
56,0.571428571429,3rd,0.227,0.036,0.001,0.189,0.261,0.0
57,0.571428571429,4th,0.352,0.045,0.001,0.304,0.394,0.0
58,0.571428571429,5th,0.337,0.042,0.001,0.293,0.376,0.0
59,0.571428571429,6th,0.223,0.037,0.001,0.186,0.258,0.0
60,0.583673469388,3rd,0.235,0.035,0.001,0.198,0.268,0.0
61,0.583673469388,4th,0.367,0.044,0.001,0.318,0.407,0.0
62,0.583673469388,5th,0.339,0.04,0.001,0.297,0.376,0.0
63,0.583673469388,6th,0.23,0.036,0.001,0.195,0.265,0.0
64,0.595918367347,3rd,0.244,0.035,0.001,0.209,0.278,0.0
65,0.595918367347,4th,0.382,0.043,0.001,0.336,0.422,0.0
66,0.595918367347,5th,0.34,0.039,0.001,0.302,0.377,0.0
67,0.595918367347,6th,0.237,0.035,0.001,0.204,0.273,0.0
68,0.608163265306,3rd,0.254,0.034,0.001,0.219,0.286,0.0
69,0.608163265306,4th,0.397,0.042,0.001,0.353,0.436,0.0
70,0.608163265306,5th,0.342,0.037,0.001,0.304,0.376,0.0
71,0.608163265306,6th,0.244,0.035,0.001,0.21,0.278,0.0
72,0.620408163265,3rd,0.263,0.033,0.001,0.23,0.296,0.0
73,0.620408163265,4th,0.413,0.04,0.001,0.372,0.453,0.0
74,0.620408163265,5th,0.344,0.036,0.001,0.308,0.379,0.0
75,0.620408163265,6th,0.252,0.034,0.001,0.217,0.283,0.0
76,0.632653061224,3rd,0.273,0.033,0.001,0.242,0.306,0.0
77,0.632653061224,4th,0.429,0.039,0.001,0.39,0.468,0.0
78,0.632653061224,5th,0.345,0.034,0.001,0.314,0.381,0.0
79,0.632653061224,6th,0.26,0.033,0.001,0.228,0.293,0.0
80,0.644897959184,3rd,0.283,0.032,0.001,0.25,0.314,0.0
81,0.644897959184,4th,0.444,0.038,0.001,0.406,0.481,0.0
82,0.644897959184,5th,0.347,0.033,0.001,0.314,0.379,0.0
83,0.644897959184,6th,0.267,0.032,0.001,0.237,0.3,0.0
84,0.657142857143,3rd,0.293,0.031,0.0,0.261,0.323,0.0
85,0.657142857143,4th,0.46,0.036,0.001,0.423,0.495,0.0
86,0.657142857143,5th,0.348,0.032,0.0,0.317,0.379,0.0
87,0.657142857143,6th,0.275,0.032,0.0,0.245,0.306,0.0
88,0.669387755102,3rd,0.304,0.031,0.0,0.272,0.332,0.0
89,0.669387755102,4th,0.477,0.035,0.001,0.439,0.509,0.0
90,0.669387755102,5th,0.35,0.03,0.0,0.32,0.379,0.0
91,0.669387755102,6th,0.284,0.031,0.0,0.252,0.312,0.0
92,0.681632653061,3rd,0.314,0.03,0.0,0.284,0.343,0.0
93,0.681632653061,4th,0.493,0.034,0.001,0.456,0.522,0.0
94,0.681632653061,5th,0.352,0.029,0.0,0.324,0.382,0.0
95,0.681632653061,6th,0.292,0.03,0.0,0.261,0.319,0.0
96,0.69387755102,3rd,0.325,0.029,0.0,0.297,0.354,0.0
97,0.69387755102,4th,0.509,0.032,0.001,0.473,0.537,0.0
98,0.69387755102,5th,0.353,0.028,0.0,0.326,0.382,0.0
99,0.69387755102,6th,0.3,0.029,0.0,0.271,0.329,0.0
100,0.70612244898,3rd,0.336,0.029,0.0,0.308,0.364,0.0
101,0.70612244898,4th,0.525,0.031,0.0,0.492,0.554,0.0
102,0.70612244898,5th,0.355,0.028,0.0,0.329,0.383,0.0
103,0.70612244898,6th,0.309,0.029,0.0,0.28,0.336,0.0
104,0.718367346939,3rd,0.348,0.028,0.0,0.32,0.375,0.0
105,0.718367346939,4th,0.541,0.03,0.0,0.509,0.569,0.0
106,0.718367346939,5th,0.357,0.027,0.0,0.331,0.384,0.0
107,0.718367346939,6th,0.318,0.028,0.0,0.289,0.344,0.0
108,0.730612244898,3rd,0.359,0.028,0.0,0.331,0.386,0.0
109,0.730612244898,4th,0.557,0.03,0.0,0.526,0.585,0.0
110,0.730612244898,5th,0.359,0.026,0.0,0.331,0.383,0.0
111,0.730612244898,6th,0.327,0.028,0.0,0.298,0.353,0.0
112,0.742857142857,3rd,0.371,0.028,0.0,0.343,0.397,0.0
113,0.742857142857,4th,0.573,0.029,0.0,0.546,0.604,0.0
114,0.742857142857,5th,0.36,0.026,0.0,0.334,0.386,0.0
115,0.742857142857,6th,0.336,0.028,0.0,0.307,0.362,0.0
116,0.755102040816,3rd,0.383,0.028,0.0,0.357,0.41,0.0
117,0.755102040816,4th,0.589,0.028,0.0,0.562,0.619,0.0
118,0.755102040816,5th,0.362,0.026,0.0,0.336,0.389,0.0
119,0.755102040816,6th,0.345,0.028,0.0,0.315,0.37,0.0
120,0.767346938776,3rd,0.395,0.028,0.0,0.369,0.423,0.0
121,0.767346938776,4th,0.605,0.028,0.0,0.578,0.635,0.0
122,0.767346938776,5th,0.364,0.026,0.0,0.341,0.393,0.0
123,0.767346938776,6th,0.354,0.028,0.0,0.326,0.381,0.0
124,0.779591836735,3rd,0.407,0.028,0.0,0.382,0.436,0.0
125,0.779591836735,4th,0.62,0.028,0.0,0.591,0.646,0.0
126,0.779591836735,5th,0.365,0.027,0.0,0.339,0.392,0.0
127,0.779591836735,6th,0.364,0.028,0.0,0.334,0.39,0.0
128,0.791836734694,3rd,0.419,0.028,0.0,0.394,0.449,0.0
129,0.791836734694,4th,0.635,0.028,0.0,0.608,0.664,0.0
130,0.791836734694,5th,0.367,0.027,0.0,0.343,0.397,0.0
131,0.791836734694,6th,0.373,0.028,0.0,0.344,0.4,0.0
132,0.804081632653,3rd,0.431,0.029,0.0,0.403,0.46,0.0
133,0.804081632653,4th,0.65,0.028,0.0,0.623,0.679,0.0
134,0.804081632653,5th,0.369,0.028,0.0,0.343,0.399,0.0
135,0.804081632653,6th,0.383,0.029,0.0,0.355,0.413,0.0
136,0.816326530612,3rd,0.444,0.03,0.0,0.416,0.474,0.0
137,0.816326530612,4th,0.665,0.028,0.0,0.638,0.695,0.0
138,0.816326530612,5th,0.371,0.029,0.0,0.343,0.401,0.0
139,0.816326530612,6th,0.393,0.03,0.0,0.359,0.419,0.0
140,0.828571428571,3rd,0.456,0.031,0.0,0.426,0.486,0.0
141,0.828571428571,4th,0.679,0.029,0.0,0.651,0.709,0.0
142,0.828571428571,5th,0.372,0.03,0.0,0.343,0.403,0.0
143,0.828571428571,6th,0.403,0.031,0.0,0.371,0.433,0.0
144,0.840816326531,3rd,0.469,0.032,0.001,0.434,0.497,0.0
145,0.840816326531,4th,0.693,0.029,0.0,0.664,0.722,0.0
146,0.840816326531,5th,0.374,0.031,0.0,0.343,0.405,0.0
147,0.840816326531,6th,0.413,0.032,0.001,0.382,0.446,0.0
