,regimen,sid,pretest,posttest,stimulus_label,sum,len,mean
0,AP,1611,0.6916666666666703,0.8333333333333334,2.5,13.25,30.0,0.4415050287356322
1,AP,1612,0.7333333333333396,0.9166666666666666,2.5,17.75,30.0,0.5942806822395253
2,AP,1613,0.5916666666666547,0.9833333333333334,2.5,16.25,30.0,0.5446051167964405
3,AP,1614,0.7416666666666719,0.9833333333333334,2.5,26.0,30.0,0.8666110493140526
4,AP,1625,0.5166666666666642,0.8249999999999998,2.5,13.5,30.0,0.4494791666666667
5,AP,1627,0.6000000000000091,0.7833333333333333,2.5,17.0,30.0,0.5655505952380953
6,AP,1641,0.5333333333333424,0.775,2.5,12.25,30.0,0.40587797619047616
7,LA,1621,0.5499999999999906,0.6583333333333333,2.5,10.5,30.0,0.35162217278457547
8,LA,1652,0.5083333333333264,0.5416666666666666,2.5,7.25,30.0,0.24223416965352448
9,LA,1672,0.7666666666666567,0.9499999999999998,2.5,15.75,30.0,0.5266129032258065
10,LA,1674,0.4833333333333403,0.4916666666666667,2.5,8.25,30.0,0.2771577380952381
11,LA,1684,0.6000000000000141,0.8833333333333333,2.5,11.75,30.0,0.38857526881720433
12,LA,1790,0.5249999999999867,0.625,2.5,7.5,30.0,0.2492491657397108
13,LA,1794,0.5333333333333327,0.7999999999999999,2.5,9.75,30.0,0.32499999999999996
14,P,1618,0.5944444444444372,0.5083333333333333,2.5,10.0,30.0,0.3334445680385614
15,P,1619,0.6666666666666702,0.6750000000000002,2.5,8.25,30.0,0.27626065999258437
16,P,1620,0.5333333333333437,0.75,2.5,7.75,30.0,0.25842313218390806
17,P,1665,0.5888888888888975,0.85,2.5,14.25,30.0,0.47157738095238094
18,P,1666,0.5555555555555465,0.625,2.5,7.25,30.0,0.2449404761904762
19,P,1670,0.6222222222222206,0.7916666666666666,2.5,16.0,30.0,0.5337053571428572
20,P,1671,0.6222222222222176,0.8250000000000001,2.5,12.25,30.0,0.40394345238095236
21,SA,1615,0.5166666666666642,0.625,2.5,8.25,30.0,0.27626065999258437
22,SA,1616,0.5749999999999922,0.5583333333333333,2.5,12.25,30.0,0.40688728216536896
23,SA,1617,0.5749999999999922,0.6416666666666667,2.5,8.75,30.0,0.29405821282906935
24,SA,1622,0.6750000000000028,0.9,2.5,17.25,30.0,0.5618223566308245
25,SA,1653,0.5749999999999922,0.7833333333333333,2.5,16.25,30.0,0.5405505952380952
26,SA,1658,0.7416666666666719,0.8583333333333334,2.5,12.25,30.0,0.4122767857142857
27,SA,1804,0.5500000000000076,0.6749999999999999,2.5,12.75,30.0,0.42797619047619045
